p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.21782548412862	1	0.026	0	PSC	CG15550
0	3.69247216299645	0.878	0.098	0	PSC	CG6023
0	3.48865700946096	0.534	0.002	0	PSC	mthl7
0	2.92732771309534	0.772	0.054	0	PSC	ImpL2
0	2.8076389908666	0.508	0.027	0	PSC	Pepck
0	2.7984262197093	0.931	0.004	0	PSC	Antp
0	2.79061582843458	0.397	0.015	0	PSC	CG9451
0	2.75207219610964	0.915	0.003	0	PSC	tau
0	2.43580049678781	0.91	0.049	0	PSC	CG44325
0	2.10744889089244	0.82	0.033	0	PSC	CG15115
0	2.05065459096653	0.794	0.051	0	PSC	kn
0	1.94762878141296	0.73	0.003	0	PSC	CG15549
0	1.85221323825046	0.64	0.031	0	PSC	CG30054
0	1.48154520351282	0.339	0	0	PSC	mthl12
0	1.2037313071947	0.333	0	0	PSC	MstProx
0	0.987462328440898	0.365	0.002	0	PSC	Toll-4
0	0.924207769142798	0.37	0.003	0	PSC	CG34353
0	0.898145598338963	0.339	0.011	0	PSC	5-HT1B
1.74791455562376e-293	1.23193808273947	0.476	0.026	2.71625921943932e-289	PSC	rdgA
1.38588002994904e-260	1.24604903702217	0.54	0.039	2.15365756654081e-256	PSC	sm
3.17629258998277e-253	0.754601531895244	0.259	0.008	4.93595868483322e-249	PSC	CG13437
8.14644089438563e-192	2.29003406333687	0.847	0.155	1.26595691498753e-187	PSC	CG6287
7.29410160561689e-174	1.42209719603389	0.524	0.055	1.13350338951286e-169	PSC	CR44430
9.90204807565998e-174	2.48543248070469	0.825	0.158	1.53877827095756e-169	PSC	CG15784
4.01381693987605e-164	0.877011804882955	0.354	0.026	6.23747152456737e-160	PSC	noc
4.08938306703606e-151	1.73569481237364	0.772	0.164	6.35490128617403e-147	PSC	Fur1
1.16189570875368e-140	1.59522054848668	0.984	0.266	1.80558593140321e-136	PSC	fax
2.34044076374482e-124	1.30267186485155	0.587	0.101	3.63704494685944e-120	PSC	elB
9.43648267989042e-117	1.97536500454279	0.947	0.473	1.46642940845497e-112	PSC	CG12163
1.28986287744658e-96	1.60192793090389	0.984	0.799	2.00444691155199e-92	PSC	CG2865
1.02399839959306e-93	1.61642786702714	0.862	0.365	1.59129351296762e-89	PSC	ham
2.55878129409424e-88	1.70907544480748	0.937	0.702	3.97634613102245e-84	PSC	Gel
1.42128181761424e-83	1.42781348879164	0.915	0.539	2.20867194457253e-79	PSC	CrebA
2.41150478607053e-83	1.48551365544596	0.889	0.452	3.74747843755361e-79	PSC	ced-6
3.26428487443004e-70	1.34596601558679	0.836	0.306	5.07269869486428e-66	PSC	IM18
1.13800200050231e-65	0.941521592245838	0.968	0.926	1.76845510878059e-61	PSC	Oda
1.37974595628765e-65	1.39796004059295	0.979	0.799	2.14412521607101e-61	PSC	CR43855
5.0899486313265e-60	1.05577886675069	0.958	0.849	7.90978017308137e-56	PSC	AnxB11
8.42891744511329e-60	0.98674042858475	0.979	0.956	1.3098537709706e-55	PSC	CR34335
1.84840362385475e-56	0.617842568945186	0.984	0.959	2.87241923147029e-52	PSC	His4r
5.8526318432216e-54	1.04569695167551	0.984	0.915	9.09498988436637e-50	PSC	CR40469
3.81810288946204e-52	1.72565871534652	0.683	0.33	5.93333189022401e-48	PSC	h
1.00127103750806e-51	1.2204473197257	0.815	0.554	1.55597519228753e-47	PSC	CG5953
4.75392504254352e-51	1.11279065362641	0.466	0.133	7.38759951611263e-47	PSC	chrb
1.29348379936988e-50	0.727423533115016	0.265	0.044	2.0100738242208e-46	PSC	CG1607
2.44222315633065e-50	1.00453479850992	0.646	0.279	3.79521478493782e-46	PSC	CG18815
8.40592680142329e-49	0.871138975714551	0.508	0.152	1.30628102494118e-44	PSC	Lip4
6.12504422920561e-48	1.32159776639641	0.915	0.856	9.51831873218551e-44	PSC	Gadd45
1.44039697557935e-44	0.798059348506408	0.984	0.913	2.23837690005031e-40	PSC	Xrp1
3.92420072505502e-44	0.981586649791453	0.429	0.125	6.0982079267355e-40	PSC	Swim
5.76700912349938e-44	1.20973434563849	0.698	0.39	8.96193217791804e-40	PSC	brat
6.93183603925925e-43	0.998661913278191	0.847	0.658	1.07720732050089e-38	PSC	CG32138
8.97199249503562e-42	1.06718304682205	0.915	0.788	1.39424763372853e-37	PSC	CG8620
2.34586060263967e-41	0.962174462327178	0.582	0.25	3.64546737650205e-37	PSC	CG5059
7.51414998388182e-41	0.61690257603607	1	0.854	1.16769890749523e-36	PSC	Ance
2.15605581725521e-37	0.999874424519962	0.582	0.268	3.3505107400146e-33	PSC	ITP
3.26091279316597e-35	0.791153694784332	0.905	0.778	5.06745848057992e-31	PSC	Gapdh2
8.89166258852139e-35	0.633169460315494	1	0.993	1.38176436625622e-30	PSC	CG9821
1.81407285901895e-33	0.495243171894117	1	0.989	2.81906922291545e-29	PSC	alphaTub84B
4.24367317836671e-32	0.895436861976176	0.905	0.83	6.59466811918186e-28	PSC	Hsromega
3.69524735636172e-31	0.872067227466866	0.836	0.74	5.74241439178611e-27	PSC	olf186-M
8.41748871787284e-30	0.638567274992079	0.28	0.075	1.30807774675744e-25	PSC	CG11337
1.88442170129385e-29	0.842820198057348	0.37	0.125	2.92839132381064e-25	PSC	Ance-2
2.41017494410256e-29	1.0077073880222	0.73	0.591	3.74541186313538e-25	PSC	CG13631
1.42327085594322e-28	0.774038991613756	0.857	0.675	2.21176291013577e-24	PSC	CG6770
1.63119995070204e-28	0.878450001095223	0.476	0.216	2.53488472339097e-24	PSC	CG5196
1.36501709222245e-26	0.870900413210841	0.646	0.424	2.12123656131369e-22	PSC	Ssdp
5.86020080814025e-26	1.11033345609751	0.646	0.467	9.10675205584995e-22	PSC	CG13868
3.3622984203459e-25	0.693713717167121	0.968	0.931	5.22501174521754e-21	PSC	Hsc70-3
8.21581594523195e-25	0.786474949970324	0.413	0.172	1.27673779788904e-20	PSC	Dys
1.05570300470472e-24	0.988950337358732	0.455	0.209	1.64056246931114e-20	PSC	Ilp6
3.58822493091333e-24	0.672635419715988	0.291	0.092	5.57610154263931e-20	PSC	fend
1.10803412883841e-22	0.768798588167405	0.407	0.18	1.72188503621489e-18	PSC	dally
2.03714781960641e-22	0.808550543871872	0.513	0.282	3.16572771166836e-18	PSC	hipk
2.05571044456731e-22	0.676364024599009	0.265	0.083	3.19457403085761e-18	PSC	CG31522
3.03554773789254e-22	0.704919690955613	0.28	0.09	4.717241184685e-18	PSC	aay
6.1446424962914e-22	0.72674906373619	0.54	0.299	9.54877443923684e-18	PSC	trol
2.12608915000941e-21	0.80890713362026	0.582	0.391	3.30394253911462e-17	PSC	CG17508
1.50358468018786e-20	0.778089924343767	0.476	0.252	2.33657059301193e-16	PSC	mspo
2.10110341328749e-20	2.13454947013958	0.492	0.275	3.26511470424876e-16	PSC	CG16713
3.23966097444784e-20	0.716157319840484	0.683	0.527	5.03443315429194e-16	PSC	Su(Tpl)
1.87444341980838e-19	0.769829284361306	0.693	0.605	2.91288507438222e-15	PSC	sgg
4.13374302079939e-19	0.737488987778167	0.778	0.695	6.42383665432225e-15	PSC	Nrt
4.75054774718238e-19	0.910651050897726	0.36	0.16	7.38235119912142e-15	PSC	ftz-f1
1.25628412456807e-18	0.586309995300363	0.868	0.825	1.95226552957877e-14	PSC	CR42862
1.84734030063364e-18	0.806895670201426	0.72	0.634	2.87076682718468e-14	PSC	CG32103
2.67611009436851e-18	0.684036065613535	0.677	0.546	4.15867508664867e-14	PSC	Mdh1
1.02179507706007e-17	0.841949867596312	0.73	0.706	1.58786954975134e-13	PSC	sqh
1.96746181738209e-17	0.600751349553119	0.28	0.107	3.05743566421177e-13	PSC	glob1
4.742006149422e-17	0.539065637194613	0.894	0.876	7.36907755620179e-13	PSC	CG45050
6.19821264244255e-17	0.553284858640124	0.847	0.806	9.63202244635572e-13	PSC	Unr
2.97851560301195e-16	0.576566565148991	0.725	0.553	4.62861324708057e-12	PSC	Hsp27
5.83352816930996e-16	0.730893972970143	0.683	0.578	9.06530277510768e-12	PSC	ct
6.24437592624849e-16	0.745467032989138	0.646	0.539	9.70376018939015e-12	PSC	capu
6.80021588892236e-16	0.745277037171176	0.413	0.23	1.05675354913853e-11	PSC	aPKC
2.89808144247284e-15	0.601026875778009	0.444	0.258	4.5036185616028e-11	PSC	slmb
4.95601183141097e-15	0.334541618974989	0.995	0.979	7.70164238601265e-11	PSC	Df31
1.55276095169916e-14	0.863020839399697	0.466	0.29	2.4129905189405e-10	PSC	Hex-A
1.66898896558857e-14	0.540326341000764	0.27	0.112	2.59360885252464e-10	PSC	CG33229
2.08164989323254e-14	0.370089289514195	0.952	0.943	3.23488393408337e-10	PSC	ERp60
2.47843592298674e-14	0.898210248651944	0.455	0.288	3.85148942432139e-10	PSC	edl
2.48620013614061e-14	0.748544294153456	0.296	0.135	3.86355501156251e-10	PSC	CG13004
2.85848036487999e-14	0.98018563269967	0.487	0.306	4.44207848702351e-10	PSC	scyl
