res	cluster	supergroup	deg	deg_sig_top10	mostcell	mostcell_deg	mostcell_deg_sig_top10
0.1	5	5	1027	47	2	326	16
0.2	8	8	1540	76	2	415	15
0.3	9	9	1574	84	3	652	30
0.4	9	9	1616	82	2	392	15
0.5	11	11	1743	91	2	409	15
0.6	11	11	1557	79	2	415	14
0.7	12	12	1637	85	2	411	15
0.8	12	12	1626	85	2	399	15
0.9	12	12	1543	84	2	410	15
1	12	12	1537	84	2	407	15
1.1	14	14	1762	89	2	403	16
1.2	15	15	1765	96	1	0	0
1.3	15	15	1727	97	2	402	15
1.4	15	15	1673	96	2	403	15
1.5	18	18	1736	106	1	0	0
1.6	18	18	1723	104	1	0	0
1.7	19	19	1853	105	1	0	0
1.8	19	19	1859	105	1	0	0
1.9	17	17	1756	101	1	0	0
2	18	18	1896	108	1	0	0
2.1	18	18	1931	109	1	0	0
2.2	20	20	2162	124	1	0	0
2.3	18	18	1892	107	1	0	0
2.4	20	20	1965	113	1	0	0
2.5	20	20	1910	109	1	0	0
2.6	20	20	1968	113	1	0	0
2.7	22	22	2191	124	1	0	0
2.8	22	22	2175	125	1	0	0
2.9	21	21	2006	114	1	0	0
3	23	23	2260	127	1	0	0
