p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.43950680088479	1	0.02	0	9	CG15550
0	3.14362182274758	0.506	0.002	0	9	mthl7
0	2.77225430856657	0.931	0.005	0	9	Antp
0	2.69289132081473	0.954	0.004	0	9	tau
0	1.97056356262174	0.598	0.001	0	9	mthl12
0	1.85569640118169	0.793	0.001	0	9	CG15549
0	1.7670834172654	0.667	0.001	0	9	MstProx
1.93094473344271e-304	2.47190307814173	0.954	0.049	3.00068811576997e-300	9	CG44325
2.335878512956e-303	0.813570453085094	0.391	0.005	3.62995520913362e-299	9	CG34353
3.24798500517916e-301	0.60726023101792	0.253	0.001	5.04736869804842e-297	9	Toll-4
3.5019044099757e-279	0.699541792138603	0.287	0.002	5.44195945310225e-275	9	Pvf1
2.90337674653599e-264	2.27989854485303	0.931	0.053	4.51184746411693e-260	9	CG15115
1.62920760877909e-202	1.79669777812605	0.759	0.046	2.5317886240427e-198	9	kn
1.10894280648863e-184	1.30685180781701	0.575	0.027	1.72329712128333e-180	9	rdgA
2.55443704228518e-177	2.78548772370143	0.437	0.015	3.96959516371117e-173	9	Pepck
7.0871959291247e-155	3.25852689233412	0.92	0.101	1.10135024738598e-150	9	ImpL2
4.02196975145475e-140	3.73771183156576	0.908	0.114	6.25014099376068e-136	9	CG6023
2.15199210349341e-136	0.935370703470411	0.414	0.018	3.34419572882875e-132	9	5-HT1B
2.74292757671908e-123	1.48238379351254	0.46	0.026	4.26250945422144e-119	9	CG30054
7.91647228278174e-96	1.29341774634516	0.598	0.061	1.23021979274428e-91	9	CR44430
6.65991043190268e-90	1.2191774161592	0.609	0.069	1.03495008111768e-85	9	sm
5.97637893886037e-76	2.3542967233214	0.851	0.181	9.28729287098901e-72	9	CG15784
2.47684589403793e-66	1.03162375318221	0.368	0.032	3.84901851933494e-62	9	CG1607
1.39455560764916e-62	2.16629113433867	0.782	0.161	2.1671394142868e-58	9	IM18
4.89886605936283e-62	3.18810821140788	0.414	0.044	7.61283785624985e-58	9	CG42680
7.54837333328513e-61	2.31187183550071	0.92	0.331	1.17301721599251e-56	9	CG6287
3.20191825740753e-59	1.65875001730022	0.885	0.28	4.9757809720113e-55	9	ham
6.76506074837581e-59	1.63319364124256	0.759	0.186	1.0512904402976e-54	9	Fur1
2.98068944248677e-55	1.10611680027729	0.54	0.087	4.63199139362443e-51	9	elB
2.11352655515067e-53	1.85590391392633	0.966	0.558	3.28442026670414e-49	9	CG12163
1.49560535254154e-51	0.704778270830126	0.287	0.025	2.32417071784956e-47	9	noc
3.50723707903454e-50	1.66038529642843	1	0.739	5.45024642081968e-46	9	CG2865
6.17409875466961e-42	0.959389069841871	0.483	0.088	9.59454946475657e-38	9	glob1
5.54825650307277e-40	1.42958418454168	0.92	0.574	8.62199060577508e-36	9	CG5953
5.6846876187449e-40	0.957185641279558	0.989	0.949	8.83400455952958e-36	9	Oda
1.25373792456551e-39	1.74205474729534	0.989	0.825	1.9483087347748e-35	9	Gadd45
