subclusters	PH 1	PH 2	PH 3	PH 4	PH 5	PH 6	PM 1	PM 2	PM 3	PM 4	LM 1	LM 2	CC 1	CC 2	GST-rich	Adipohemocyte
PH 1	0	1.4091520974514	2.65582942054141	4.49054968672922	4.44905006793886	2.63928697743119	6.6083856350822	6.76159272987574	5.41618595124957	5.03214126861815	3.65359568494453	2.99235118313506	7.98650597193832	9.8682910930577	5.95059361443058	4.74283495251288
PH 2	1.4091520974514	0	1.97916473474218	4.25721855281954	4.91030169929576	3.81975565941494	7.23585114849962	7.60860960066065	6.81529915257256	6.43750697777837	4.8348584912221	4.29371471911254	8.6014862020095	10.3472887124305	6.13161535319539	6.00566934342408
PH 3	2.65582942054141	1.97916473474218	0	2.36197614212272	3.89299463336204	4.27396254534495	5.99642639454572	6.62382415685189	7.28698274402717	7.2136275604984	4.69573322854713	4.95578109152346	7.70844458564382	9.71342113441425	4.65078092309982	6.20116281631056
PH 4	4.49054968672922	4.25721855281954	2.36197614212272	0	3.38019500371655	5.21116556247139	4.30758240539759	5.31324514750239	7.66344878461057	7.94208776597962	4.72391205863549	5.78371342453906	6.40882121439212	8.75182998157795	2.83912596279123	6.50068811521237
PH 5	4.44905006793886	4.91030169929576	3.89299463336204	3.38019500371655	0	3.29631534774788	4.35306235425414	3.74340336589022	5.88040985897847	6.22827334260498	3.59463036072176	5.28941640635123	7.5114177370923	10.3895739920757	4.91461426077121	3.9926241586193
PH 6	2.63928697743119	3.81975565941494	4.27396254534495	5.21116556247139	3.29631534774788	0	5.95156173937572	5.26118521291309	3.6826253528744	3.49393402632486	2.55047703990735	2.98964529864789	8.05682155900728	10.4755843603694	6.39808507028241	2.26274581932319
PM 1	6.6083856350822	7.23585114849962	5.99642639454572	4.30758240539759	4.35306235425414	5.95156173937572	0	2.17921098462696	6.23298799336733	7.07712664954577	3.91533119027593	5.76410846232688	3.63270917139087	6.79779751385775	2.65768576323044	5.66576477002558
PM 2	6.76159272987574	7.60860960066065	6.62382415685189	5.31324514750239	3.74340336589022	5.26118521291309	2.17921098462696	0	5.29023318056086	6.22831151122702	3.63491824081817	5.79785837793548	5.37918876761947	8.55240534916396	4.60805087220542	4.3400264395335
PM 3	5.41618595124957	6.81529915257256	7.28698274402717	7.66344878461057	5.88040985897847	3.6826253528744	6.23298799336733	5.29023318056086	0	1.15770309815788	2.97149784043969	3.07146701341463	7.34988577392124	9.51886177427048	7.50410570426912	2.29898733531691
PM 4	5.03214126861815	6.43750697777837	7.2136275604984	7.94208776597962	6.22827334260498	3.49393402632486	7.07712664954577	6.22831151122702	1.15770309815788	0	3.44399927416017	2.88599248388389	8.11907245921522	10.1091926799254	8.0601674420205	2.65467646030943
LM 1	3.65359568494453	4.8348584912221	4.69573322854713	4.72391205863549	3.59463036072176	2.55047703990735	3.91533119027593	3.63491824081817	2.97149784043969	3.44399927416017	0	2.20055753564533	5.60131454616329	8.12583457099383	4.69662808292244	2.5811505845756
LM 2	2.99235118313506	4.29371471911254	4.95578109152346	5.78371342453906	5.28941640635123	2.98964529864789	5.76410846232688	5.79785837793548	3.07146701341463	2.88599248388389	2.20055753564533	0	6.41129291737111	8.21676798170182	5.86680721961501	3.66635222374461
CC 1	7.98650597193832	8.6014862020095	7.70844458564382	6.40882121439212	7.5114177370923	8.05682155900728	3.63270917139087	5.37918876761947	7.34988577392124	8.11907245921522	5.60131454616329	6.41129291737111	0	3.20434183807675	3.72665033346808	7.85010958892026
CC 2	9.8682910930577	10.3472887124305	9.71342113441425	8.75182998157795	10.3895739920757	10.4755843603694	6.79779751385775	8.55240534916396	9.51886177427048	10.1091926799254	8.12583457099383	8.21676798170182	3.20434183807675	0	6.164401089015	10.4673629510502
GST-rich	5.95059361443058	6.13161535319539	4.65078092309982	2.83912596279123	4.91461426077121	6.39808507028241	2.65768576323044	4.60805087220542	7.50410570426912	8.0601674420205	4.69662808292244	5.86680721961501	3.72665033346808	6.164401089015	0	6.9896426006863
Adipohemocyte	4.74283495251288	6.00566934342408	6.20116281631056	6.50068811521237	3.9926241586193	2.26274581932319	5.66576477002558	4.3400264395335	2.29898733531691	2.65467646030943	2.5811505845756	3.66635222374461	7.85010958892026	10.4673629510502	6.9896426006863	0
