p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.02587956398569e-07	1.42964085132577	0.75	0.071	0.0140262168424338	Dl+N-	CG7675
5.02017694606969e-06	0.733232121790481	0.5	0.032	0.078013549741923	Dl+N-	Dhap-at
2.39192160714088e-05	1.28252048931236	0.5	0.039	0.371704617749692	Dl+N-	CG5873
2.71997686477966e-05	1.45668318672276	0.5	0.039	0.422684404786759	Dl+N-	CG11905
2.71997686477966e-05	0.77262256054387	0.5	0.039	0.422684404786759	Dl+N-	Spt3
5.17345507845771e-05	1.44794873590087	1	0.213	0.803954919192328	Dl+N-	CG33978
0.000176299848853243	0.535435165535376	0.5	0.052	1	Dl+N-	CG14906
0.000195608370357942	1.30883593264584	0.5	0.052	1	Dl+N-	CG5118
0.000208736893866982	1.31241628448506	1	0.245	1	Dl+N-	Dl
0.000212473869843409	1.35826903663345	0.75	0.129	1	Dl+N-	CG9782
0.000294522341306521	1.15948530833332	0.5	0.052	1	Dl+N-	CG13046
0.000367033582010871	1.69864176617045	0.5	0.058	1	Dl+N-	ImpE1
0.000443551536605757	0.823912385422141	0.5	0.058	1	Dl+N-	Cht3
0.000534758881066396	0.939340335448041	0.5	0.058	1	Dl+N-	Cda4
0.000586652906775755	0.495688022395954	0.5	0.058	1	Dl+N-	DUBAI
0.000808106431622064	1.30726092140373	0.5	0.065	1	Dl+N-	MED4
0.000843075227659051	1.26621462969297	0.75	0.161	1	Dl+N-	Cip4
0.000894759324085223	1.29422049368037	0.75	0.161	1	Dl+N-	18w
0.000929371797870341	1.55180932856993	0.75	0.174	1	Dl+N-	CG2218
0.00113814029968787	0.695756412964381	0.5	0.065	1	Dl+N-	CG32549
0.00118203755099118	1.44550566109664	0.75	0.194	1	Dl+N-	Snoo
0.00124231803217205	1.28200275873027	0.5	0.071	1	Dl+N-	Tg
0.00158017688958204	1.24694018166573	0.5	0.071	1	Dl+N-	vn
0.00159941143677006	1.14831230114111	0.75	0.161	1	Dl+N-	CG1927
0.0019402765223077	1.27429011157442	0.5	0.077	1	Dl+N-	CG5191
0.0019402765223077	0.687182121098012	0.5	0.077	1	Dl+N-	mav
0.00203206047806268	1.12937483065545	0.75	0.174	1	Dl+N-	ec
0.00247867271525837	1.21778665748	0.75	0.194	1	Dl+N-	sdt
