p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.78114159388192e-50	2.62569655346001	0.705	0	2.76789403689251e-46	PH 1	CG43164
1.72541398306776e-49	1.7324057097526	0.718	0.007	2.68129332968731e-45	PH 1	Inx3
1.33692082138503e-44	1.83554058933719	0.731	0.037	2.07757495643234e-40	PH 1	Fas3
5.17148106820458e-43	1.60161978540491	0.667	0.015	8.03648157998992e-39	PH 1	ogre
2.1068891283465e-42	1.73611305783364	0.744	0.048	3.27410570545046e-38	PH 1	Inx2
1.09484458444891e-41	2.09679369347115	0.679	0.03	1.7013884842336e-37	PH 1	E(spl)m2-BFM
3.46818926000115e-39	1.58932853595232	0.628	0.019	5.38956611004178e-35	PH 1	Fas2
2.00463480574694e-38	1.29044967359563	0.577	0.007	3.11520248813075e-34	PH 1	Sip1
2.87222259101271e-37	1.24089360771408	0.615	0.022	4.46343390643375e-33	PH 1	vfl
9.38479352027277e-36	1.59272171089158	0.718	0.078	1.45839691305039e-31	PH 1	ed
1.28287164309446e-35	1.62271711290709	0.526	0.004	1.99358253336879e-31	PH 1	E(spl)m7-HLH
1.99907367941876e-34	1.94532416673398	0.603	0.033	3.10656049781675e-30	PH 1	E(spl)malpha-BFM
1.11367763348248e-33	1.58925810038486	0.769	0.126	1.73065504243177e-29	PH 1	Ppa
3.33373750388608e-33	1.19414978592869	0.577	0.026	5.18062808103896e-29	PH 1	l(3)neo38
5.30007239625348e-33	1.24208457353061	0.538	0.015	8.23631250377791e-29	PH 1	Dl
8.469596807185e-33	1.12049888903391	0.474	0	1.31617534383655e-28	PH 1	pio
1.72574659155134e-32	1.73656718303738	0.487	0.004	2.68181020327079e-28	PH 1	E(spl)m8-HLH
7.22395260640876e-32	1.24792088060027	0.462	0	1.12260223503592e-27	PH 1	Tom
7.22395260640876e-32	0.989203459102873	0.462	0	1.12260223503592e-27	PH 1	grh
1.0048057383814e-31	1.16322357743597	0.474	0.004	1.56146811744469e-27	PH 1	hid
1.65758445466728e-31	1.06153188871601	0.474	0.004	2.57588624255296e-27	PH 1	CG33978
5.8172593661921e-31	1.18090097665264	0.59	0.041	9.04002105506252e-27	PH 1	GstS1
9.9116008856077e-30	1.28277758379086	0.667	0.089	1.54026277762344e-25	PH 1	miple2
5.16419880680775e-29	0.923429860022407	0.462	0.011	8.02516494577925e-25	PH 1	CG7713
6.75111964811259e-29	0.872986242194904	0.436	0.004	1.0491239933167e-24	PH 1	pot
1.37161952865384e-28	1.03049480800093	0.449	0.007	2.13149674752807e-24	PH 1	Lac
3.40001275604271e-28	0.669888898653145	0.41	0	5.28361982289037e-24	PH 1	CG6398
2.50323183406195e-27	1.77227503006494	0.795	0.248	3.89002227013227e-23	PH 1	heph
2.73605072984463e-27	1.2264678809792	0.397	0	4.25182283417855e-23	PH 1	fj
2.73605072984463e-27	1.02933586078762	0.397	0	4.25182283417855e-23	PH 1	verm
4.3705035917489e-27	0.861989649465	0.41	0.004	6.79176258157779e-23	PH 1	mgl
2.1769014609519e-26	0.912908156732334	0.385	0	3.38290487031925e-22	PH 1	bowl
9.19364579737888e-26	1.18845937466917	0.564	0.059	1.42869255691268e-21	PH 1	babos
1.71264901772307e-25	1.32655689709833	0.372	0	2.66145657354166e-21	PH 1	Brd
1.71264901772307e-25	0.701914677102483	0.372	0	2.66145657354166e-21	PH 1	CG18507
2.78016064891273e-25	1.35930873481259	0.474	0.03	4.32036964841038e-21	PH 1	ab
2.81370530527717e-25	0.981473376683963	0.5	0.041	4.37249804440073e-21	PH 1	CG43780
4.16710022702818e-25	0.716128774123219	0.385	0.004	6.4756737528018e-21	PH 1	ec
1.33247242848871e-24	2.19164667996355	0.359	0	2.07066215387146e-20	PH 1	E(spl)m4-BFM
1.33247242848871e-24	1.3174179213668	0.359	0	2.07066215387146e-20	PH 1	CG31997
1.39427045033294e-24	0.760518537721202	0.436	0.019	2.16669627981739e-20	PH 1	bou
1.97948202580268e-24	0.881347786830912	0.372	0.004	3.07611506809736e-20	PH 1	rg
2.08939490358895e-24	0.7936238177762	0.372	0.004	3.24691968017722e-20	PH 1	d
2.93898854933555e-24	1.0215053443506	0.385	0.007	4.56718820566744e-20	PH 1	CG10249
4.79952374709864e-24	1.07610265050428	0.615	0.1	7.45845990299129e-20	PH 1	Sdc
1.02531002001882e-23	0.985045754056085	0.346	0	1.59333177110925e-19	PH 1	CG9691
1.02531002001882e-23	0.982034296782462	0.346	0	1.59333177110925e-19	PH 1	ft
1.02531002001882e-23	0.896699265742527	0.346	0	1.59333177110925e-19	PH 1	ovo
1.02531002001882e-23	0.829150368052689	0.346	0	1.59333177110925e-19	PH 1	crb
1.02531002001882e-23	0.711097499920631	0.346	0	1.59333177110925e-19	PH 1	CG14830
1.44341886836188e-23	0.689438441786008	0.397	0.011	2.24307292143436e-19	PH 1	dp
2.08983847170388e-23	1.06977636772597	0.359	0.004	3.24760898502782e-19	PH 1	CG14984
4.96078795049486e-23	0.955527698051716	0.603	0.081	7.70906447506902e-19	PH 1	kuz
7.80383249942066e-23	0.814298458848737	0.333	0	1.21271557040997e-18	PH 1	Vdup1
7.80383249942066e-23	0.69892983659498	0.333	0	1.21271557040997e-18	PH 1	CG34398
1.02582940501761e-22	1.73201142330104	0.679	0.181	1.59413889539737e-18	PH 1	hth
1.20776111099727e-22	1.15767144705605	0.346	0.004	1.87686076648976e-18	PH 1	bi
1.23322160273026e-22	1.6678446446521	0.41	0.022	1.91642637064283e-18	PH 1	rpr
2.51459852881452e-22	1.74241219412627	0.359	0.007	3.90768611377777e-18	PH 1	E(spl)mgamma-HLH
5.87580290737298e-22	0.88210669758963	0.321	0	9.13099771805761e-18	PH 1	hui
5.87580290737298e-22	0.843330512168364	0.321	0	9.13099771805761e-18	PH 1	Msr-110
7.29753104107556e-22	0.81943644979826	0.974	0.989	1.13403632378314e-17	PH 1	Df31
2.34272098887162e-21	0.774848869764126	0.462	0.044	3.6405884167065e-17	PH 1	CG42748
4.37709831575549e-21	0.768363915227499	0.308	0	6.80201078268403e-17	PH 1	Sod3
6.33496603905832e-21	0.854048322745832	0.321	0.004	9.84453722469662e-17	PH 1	dpn
6.50568548273418e-21	3.13388524315304	0.321	0.004	1.01098352401689e-16	PH 1	pncr002:3R
1.68882519455583e-20	0.73232490671475	0.987	0.985	2.62443435233976e-16	PH 1	CG3800
3.22631717827044e-20	0.65588748304174	0.295	0	5.01369689503227e-16	PH 1	CG6040
3.22642345854663e-20	0.796495083110557	0.295	0	5.01386205458146e-16	PH 1	CG9689
3.22642345854663e-20	0.684337604847184	0.295	0	5.01386205458146e-16	PH 1	kkv
3.22642345854663e-20	0.662328197867113	0.295	0	5.01386205458146e-16	PH 1	CG9782
3.55768199921911e-20	1.10930574827438	0.782	0.311	5.5286378267865e-16	PH 1	GILT1
5.42983823534814e-20	1.198143938143	0.744	0.248	8.43796861773101e-16	PH 1	mbl
7.37892489777401e-20	1.0382224984476	0.513	0.078	1.14668492911408e-15	PH 1	kune
1.35955569442577e-19	1.36486618048264	0.641	0.159	2.11274954913765e-15	PH 1	E(spl)m3-HLH
1.39065046217487e-19	0.605150458672854	0.321	0.007	2.16107081821975e-15	PH 1	Gfat1
2.35351964979453e-19	0.956251689824167	0.282	0	3.6573695357807e-15	PH 1	Ocho
2.3535967653653e-19	0.708840954522503	0.282	0	3.65748937337767e-15	PH 1	trn
2.3535967653653e-19	0.576727264389241	0.282	0	3.65748937337767e-15	PH 1	Tsp39D
2.46828721301717e-19	0.667400581851476	0.346	0.015	3.83571832902868e-15	PH 1	sano
4.36908124484544e-19	0.719864727279689	0.295	0.004	6.78955225448982e-15	PH 1	CG3777
1.30041018789769e-18	0.98831468047728	0.5	0.081	2.02083743199301e-14	PH 1	shg
1.69934728462168e-18	0.68476711353086	0.269	0	2.64078568030209e-14	PH 1	CG10005
1.69934728462168e-18	0.599227647141876	0.269	0	2.64078568030209e-14	PH 1	CG12814
1.69934728462168e-18	0.533499551499329	0.269	0	2.64078568030209e-14	PH 1	CG10176
2.36020781194893e-18	1.15069515845596	0.744	0.278	3.66776293976863e-14	PH 1	N
3.85394672864449e-18	0.550056099335351	0.282	0.004	5.98903321631354e-14	PH 1	CG44838
4.97249456627111e-18	0.57647874925655	0.333	0.019	7.72725655598531e-14	PH 1	Idgf4
6.45802049427426e-18	0.639296399116455	0.295	0.007	1.00357638481022e-13	PH 1	jbug
6.99175739032808e-18	0.668606869256193	0.308	0.011	1.08651909845698e-13	PH 1	olf413
1.21461969788879e-17	0.950012802162448	0.256	0	1.88751901051918e-13	PH 1	bnb
1.21461969788879e-17	0.712863366989659	0.256	0	1.88751901051918e-13	PH 1	lft
1.21461969788879e-17	0.58133884490521	0.256	0	1.88751901051918e-13	PH 1	sas
1.21461969788879e-17	0.544364354199421	0.256	0	1.88751901051918e-13	PH 1	CG42673
2.38032920388975e-17	1.16103913369055	0.5	0.096	3.69903158284467e-13	PH 1	CG34417
2.65683982740388e-17	0.585490775555661	0.269	0.004	4.12872909178563e-13	PH 1	qsm
2.94559353443793e-17	0.742078539994217	0.282	0.007	4.57745235251654e-13	PH 1	CR43051
5.1261420063583e-17	0.550931296971113	0.321	0.019	7.9660246778808e-13	PH 1	GstE11
6.51041783917602e-17	0.664165536470458	0.295	0.011	1.01171893220795e-12	PH 1	CG34383
1.81308518251284e-16	0.592811891129617	0.256	0.004	2.81753437362495e-12	PH 1	miple
1.86056999439895e-16	0.457147773848038	0.256	0.004	2.89132577129596e-12	PH 1	mthl5
2.01050328877927e-16	0.375186092084025	0.256	0.004	3.12432211076298e-12	PH 1	Tsf2
2.65574833065518e-16	0.632312614896361	0.372	0.037	4.12703290583816e-12	PH 1	Cht2
3.6294362751026e-16	0.640541235419672	0.282	0.011	5.64014397150943e-12	PH 1	Myo10A
3.98744970591778e-16	0.959431239771047	0.5	0.1	6.19649684299624e-12	PH 1	Tet
5.70826948487823e-16	0.704147079601898	0.423	0.059	8.87065077950077e-12	PH 1	CG3655
5.94754881593788e-16	0.42008540478716	0.282	0.011	9.24249085996747e-12	PH 1	CG17265
1.10876900190977e-15	0.616959630810822	0.346	0.033	1.72302702896778e-11	PH 1	crim
1.16310303314247e-15	0.921382384922787	0.397	0.056	1.80746211350341e-11	PH 1	CG4096
1.51403768074451e-15	1.26261644195145	0.282	0.015	2.35281455587696e-11	PH 1	Mmp2
2.16386777291931e-15	0.728046326804119	0.974	0.889	3.3626505191166e-11	PH 1	HmgD
3.12542780258767e-15	0.592320994489572	0.295	0.019	4.85691480522124e-11	PH 1	path
3.64109342843348e-15	0.841860338447742	0.974	0.726	5.65825918778562e-11	PH 1	Hsp83
4.51475827187249e-15	0.480083304490738	0.295	0.019	7.01593435448986e-11	PH 1	CG32982
6.50806925577928e-15	0.488865484515791	0.295	0.019	1.0113539623481e-10	PH 1	CG17032
7.51448000311322e-15	0.658342116013165	0.423	0.07	1.16775019248379e-10	PH 1	feo
2.06062016161295e-14	0.946636395997268	0.769	0.393	3.20220373114653e-10	PH 1	Dsp1
