id	module	supermodule	dim_1	dim_2
128up	8	1	2.89204737167447	2.96631992292251
14-3-3epsilon	14	1	0.330174376203713	2.10331147693198
14-3-3zeta	2	1	0.696087796973626	-0.0153953037971413
140up	12	1	0.682223802089026	-4.15270577639855
18SrRNA-Psi:CR41602	3	1	-0.3367272337068	0.495568566325269
26-29-p	4	1	-2.2497551044321	-0.769784521865063
28SrRNA-Psi:CR40741	18	1	-1.13352386606528	-6.62979689287323
28SrRNA-Psi:CR45859	3	1	-0.287910062133935	0.569343157904404
5PtaseI	18	1	-0.847022839152669	-4.81072529855795
AANATL2	18	1	-0.773056085702048	-6.06904689863671
ACC	15	1	-0.491526136929223	-0.540812172457094
AGO1	2	1	0.394509223741756	-0.256325917742561
AIF	1	1	3.07444904816022	1.63073783005337
AMPdeam	7	1	-1.61217473403769	0.502316044046521
AP-1sigma	14	1	0.181475012780694	2.18273513180698
AP-2alpha	15	1	-0.593409362935735	-0.249069010897025
AP-2mu	11	1	-1.65436085259864	-2.44900873352379
AP-2sigma	5	1	-0.975135749443126	-2.96063366085697
ATP7	16	1	1.87345784606821	-0.65610777890436
ATP8B	15	1	-1.61476606046823	-0.892878579553026
ATPsyn-Cf6	17	1	0.863757361812074	3.82479280252311
ATPsyn-b	17	1	0.9743943396506	4.04063669179843
ATPsyn-beta	17	1	1.13252338482308	4.15581349784702
ATPsyn-d	17	1	1.0756177805308	4.00297016119409
ATPsyn-gamma	17	1	1.06248718630664	4.01332055671711
Aatf	1	1	3.77779505746928	1.74876256534272
Aats-arg	8	1	1.84742168887265	2.75436254800962
Aats-asn	8	1	1.93467510613701	2.54253418752387
Aats-asp	8	1	2.10360833111371	3.86495740264872
Aats-gln	1	1	2.90063590290677	1.90847397090962
Aats-gly	8	1	1.93697381169379	2.62149330898457
Aats-his	1	1	2.69756905076988	1.96260731356785
Aats-ile	1	1	2.86902167867938	1.64782631658895
Aats-lys	8	1	2.41906982107428	2.4898565251302
Aats-pro	7	1	-1.29280543843364	1.80832737545538
Aats-thr	8	1	2.29896375887973	2.59991433525817
Aats-tyr-m	6	1	-3.39791474241731	1.85452898972846
Abi	10	1	-0.717644650809261	-3.57881063030406
Abl	10	1	0.00570947451606026	-3.58824765429949
Ac78C	10	1	0.0856589911981933	-3.36159279299346
AcCoAS	4	1	-1.84693308404315	-0.584777475094727
Acf1	21	1	-2.11297541296396	2.82051639936111
Acn	6	1	-2.26915896867683	2.23247221472011
Act42A	5	1	-0.208906147443122	-3.10754607836015
Act5C	5	1	-0.275338988789249	-2.92403072674909
Acyp	2	1	1.08129328006335	-1.05367443224364
AdSS	1	1	3.23671228530758	2.41598587299442
Adam	8	1	2.59348589987671	2.53340768916856
AdamTS-A	12	1	0.0148249336200607	-5.35756293420551
AdenoK	1	1	3.38229745056445	1.39772345867735
Adf1	10	1	0.356422706338383	-3.98189093186918
Adgf-A	5	1	0.0748025129331902	-2.80823577354463
Adk1	12	1	-0.249740255418023	-5.38584212510767
Adk2	17	1	1.11712924823281	4.11052140919935
