p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.24028075886714e-31	0.884410503177828	1	0.988	1.14410916551619e-26	LM 1	CG8157
3.7913558238885e-30	0.73292438184389	1	0.97	5.99110047290861e-26	LM 1	CG42394
4.33582628707285e-28	0.918154190149639	0.947	0.768	6.85147269883252e-24	LM 1	Bacc
2.25006786927791e-25	0.443110415750749	1	1	3.55555724703295e-21	LM 1	awd
2.48808432008155e-25	0.982608514181696	0.913	0.571	3.93167084259286e-21	LM 1	CG5210
4.95386421027756e-25	0.901533988534624	0.865	0.458	7.82809622508061e-21	LM 1	CG30283
8.79828483114992e-25	1.03709213137748	0.99	0.946	1.39030496901831e-20	LM 1	Nplp2
1.49162732780157e-21	0.9040484097149	0.837	0.53	2.35706950339204e-17	LM 1	CG6084
3.23959001511824e-20	0.971127217295451	0.784	0.363	5.11920014188985e-16	LM 1	CR43855
5.81572720693301e-20	0.536970323694751	0.966	0.869	9.19001213239555e-16	LM 1	smt3
3.92639168831545e-19	0.46442444829884	0.995	0.958	6.20448414587607e-15	LM 1	CG3800
1.57245475205315e-18	0.358095944309761	1	0.976	2.48479299919439e-14	LM 1	EF2
1.952083747438e-17	0.287566607037151	1	1	3.08468273770153e-13	LM 1	RpL41
2.23191286912237e-17	0.590259203817188	0.962	0.714	3.52686871578717e-13	LM 1	HmgD
2.42105639027218e-17	0.729690680236863	0.726	0.321	3.8257533079081e-13	LM 1	CG44250
6.60955572634831e-17	0.88149570015517	0.784	0.47	1.04444199587756e-12	LM 1	Ppn
7.52873980373474e-17	0.675964241896986	0.865	0.554	1.18969146378616e-12	LM 1	spz
8.22798273768892e-17	0.684553600652341	0.812	0.482	1.3001858322096e-12	LM 1	scf
8.41426062846299e-17	0.762690911749031	0.538	0.143	1.32962146450972e-12	LM 1	CG4019
1.20062943909892e-16	0.768003204407348	0.673	0.304	1.89723463966412e-12	LM 1	Idgf2
1.52321413992026e-16	0.673735301711512	0.88	0.613	2.406982983902e-12	LM 1	CG11267
2.40419851169198e-16	0.752874262884537	0.649	0.268	3.79911448817566e-12	LM 1	nop5
8.96418003240854e-16	0.514305332424728	0.976	0.845	1.4165197287212e-11	LM 1	CG2852
1.12050557841963e-15	0.683110003106325	0.548	0.173	1.77062291501869e-11	LM 1	CG42566
2.10972003040552e-15	0.690016838943253	0.644	0.274	3.33377959204681e-11	LM 1	Nop60B
