p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.53491683175555e-28	1.6090267075887	0.964	0.944	1.05022648403144e-23	LG	CG8157
4.97904533210863e-14	1.00302869305101	0.873	0.71	8.00182375323179e-10	LG	CG42807
4.69406844562944e-12	2.85424324476041	0.42	0.204	7.54383739897107e-08	LG	MtnA
3.74381871975164e-10	1.77526048093445	0.453	0.179	6.01669106451287e-06	LG	CG7860
3.0774902294506e-09	1.85584213007139	0.514	0.407	4.94583454775006e-05	LG	CG15343
5.44010399879089e-68	2.99087563748184	0.846	0.076	8.74279113645684e-64	Circ	28SrRNA-Psi:CR45855
7.73681117146148e-53	1.46129525086564	0.852	0.33	1.24338292336557e-48	Circ	Lsd-2
1.82148167611221e-44	1.04022406675645	0.951	0.862	2.92730320167993e-40	Circ	mt:ND4
2.11597845030065e-41	1.10368984695208	0.981	0.83	3.40058896747818e-37	Circ	Glt
8.38923032766758e-41	1.1968683136488	0.833	0.409	1.34823320595946e-36	Circ	kdn
1.16122581495183e-40	1.04411157167394	0.938	0.587	1.86620600720909e-36	Circ	His3.3B
2.13549971744541e-39	2.84383051493035	0.722	0.159	3.43196159590651e-35	Circ	28SrRNA-Psi:CR45859
1.10886169947093e-38	1.04628501962128	0.914	0.591	1.78205163721974e-34	Circ	Ance-5
4.49482125131191e-37	1.63763913557463	0.877	0.373	7.22362723298337e-33	Circ	18SrRNA-Psi:CR41602
3.55986579493341e-36	1.76204669721582	0.79	0.304	5.72106031903748e-32	Circ	CG8501
5.88951825190591e-33	1.00714300640697	0.617	0.091	9.46504478263799e-29	Circ	fat-spondin
2.14951511038308e-31	1.00962582167611	0.981	0.844	3.45448573389666e-27	Circ	Cg25C
6.6079437532213e-29	1.0139284938263	0.84	0.605	1.0619626405802e-24	Circ	LanB1
2.05370620914339e-25	1.07656446357237	0.642	0.207	3.30051124871434e-21	Circ	nrv3
4.41486671871873e-25	1.1560891600218	0.895	0.739	7.09513230365287e-21	Circ	Ppn
2.53709705290337e-18	1.07163891654591	0.673	0.366	4.077368673721e-14	Circ	sty
1.35161649052012e-17	1.11988734996567	0.858	0.659	2.17218286191489e-13	Circ	Hsc70-3
