p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.43872166652305e-16	3.77079610639873	0.664	0.183	3.91926959026919e-12	LG	MtnA
6.20511816124697e-10	1.10695491137863	1	0.95	9.97224539694001e-06	LG	CG10467
4.25152202696225e-09	1.82740852623416	0.912	0.817	6.83262104953104e-05	LG	CG15343
6.87479738889088e-08	1.99952425440669	0.735	0.333	0.00110484868836865	LG	CG7860
7.17605384907367e-08	1.58515983398038	0.912	0.867	0.00115326361408463	LG	CG8157
6.81176258101014e-29	2.88372099215315	0.9	0.097	1.09471836439414e-24	Circ	28SrRNA-Psi:CR45855
6.56006017482656e-27	1.85634794348865	1	0.389	1.05426727069638e-22	Circ	18SrRNA-Psi:CR41602
3.50252871770339e-23	1.36828398272415	0.983	0.681	5.62891390222112e-19	Circ	Pxn
5.33993438779464e-23	1.44025504615035	0.85	0.372	8.58180855462476e-19	Circ	Lsd-2
1.12970349813785e-22	1.246023856296	0.983	0.788	1.81554649185734e-18	Circ	mt:ND4
4.84194911864409e-20	1.13989817994503	0.95	0.504	7.78149642857292e-16	Circ	His3.3B
5.72754916191011e-18	1.04142016141246	1	1	9.20474425810573e-14	Circ	mt:lrRNA
8.49807925067198e-18	1.21974591489236	0.983	0.823	1.36572631637549e-13	Circ	Hml
4.8463894541365e-17	2.6993139591131	0.783	0.168	7.78863249174276e-13	Circ	28SrRNA-Psi:CR45859
2.33967623788261e-15	1.15568474980008	0.967	0.708	3.76009368190115e-11	Circ	Glt
2.61733639369838e-15	1.16745582531781	0.967	0.699	4.20632131831267e-11	Circ	Cg25C
3.67764072196619e-15	1.08504421256227	0.833	0.345	5.91033640427187e-11	Circ	kdn
4.50939187682797e-12	1.02618044516707	0.933	0.743	7.24704368525024e-08	Circ	sqd
2.76546578432991e-11	1.09148142365953	0.917	0.814	4.4443800619966e-07	Circ	Act5C
1.17796420992015e-09	1.00587963018558	0.683	0.363	1.89310628176267e-05	Circ	LanB1
4.6204871562219e-09	1.10637317545735	0.583	0.15	7.42558490876422e-05	Circ	CG8501
2.20802605092817e-07	1.16860887986138	0.767	0.558	0.00354851866644666	Circ	Ppn
