p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.98344086543881	0.852	0.615	0	LG	Ance
0	1.63832521674057	0.924	0.885	0	LG	CG8157
0	1.45119331827169	0.831	0.442	0	LG	Tep4
0	1.25352072252413	0.579	0.125	0	LG	CG44250
0	1.22150993023978	0.862	0.606	0	LG	GstO3
0	1.16831771195354	0.529	0.163	0	LG	GstD3
0	1.06372398147002	0.928	0.729	0	LG	CG42394
0	1.0596042490981	0.632	0.23	0	LG	CG30090
1.27785392979223e-267	1.31470372745451	0.805	0.797	2.05363905056909e-263	LG	CG42807
5.53595645679013e-158	1.0066546741441	0.538	0.352	8.89683562170743e-154	LG	CG2444
0	2.47455995991056	0.721	0.088	0	Circ	28SrRNA-Psi:CR45855
0	2.44810963563291	0.533	0.119	0	Circ	28SrRNA-Psi:CR45859
0	1.59893593718741	0.957	0.566	0	Circ	Glt
0	1.48383927973885	0.96	0.609	0	Circ	Cg25C
0	1.47229450312636	0.883	0.363	0	Circ	CG8501
0	1.43825661539493	0.947	0.633	0	Circ	Pxn
0	1.43490762908618	0.926	0.591	0	Circ	Ppn
0	1.41905456591048	0.844	0.304	0	Circ	Ance-5
0	1.38500320194027	0.525	0.199	0	Circ	LpR2
0	1.37958491160699	0.812	0.32	0	Circ	Ten-m
0	1.37135537302814	0.757	0.238	0	Circ	Lsd-2
0	1.36585304688627	0.96	0.797	0	Circ	Hml
0	1.35870051793414	0.918	0.52	0	Circ	Sr-CI
0	1.35564872054803	0.938	0.545	0	Circ	vkg
0	1.34187069746535	0.612	0.08	0	Circ	CG4829
0	1.30699007893976	0.811	0.428	0	Circ	18SrRNA-Psi:CR41602
0	1.27785496746124	0.938	0.707	0	Circ	LanB1
0	1.27717431060554	0.421	0.021	0	Circ	nrv3
0	1.24487619982731	0.814	0.344	0	Circ	CG5397
0	1.22141991383991	0.918	0.618	0	Circ	His3.3B
0	1.20730019249661	0.888	0.624	0	Circ	sty
0	1.19164423400436	0.881	0.559	0	Circ	LanA
0	1.15410744919478	0.694	0.177	0	Circ	fat-spondin
0	1.14861412048836	0.917	0.533	0	Circ	l(1)G0289
0	1.05834869191343	0.88	0.512	0	Circ	NtR
0	1.04821828756523	0.969	0.846	0	Circ	mt:ND4
0	1.02666480378341	0.806	0.36	0	Circ	NimC1
0	1.02638742847045	1	0.998	0	Circ	mt:lrRNA
0	1.02610466423573	0.771	0.352	0	Circ	LanB2
0	1.02370766836882	0.78	0.402	0	Circ	ena
1.94967896458914e-140	1.26516212327413	0.315	0.113	3.13332906399121e-136	Circ	PPO2
