p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.16139595163481e-229	1.11821425835951	0.999	0.823	3.47357943387231e-225	LG	RpL23A
3.22559716399872e-122	1.66135511799866	0.988	0.339	5.18385720226235e-118	LG	Ance
1.10140043170736e-100	1.57847788240193	0.963	0.266	1.7700606337969e-96	LG	Tep4
8.76629120478132e-99	1.6514356372582	0.976	0.427	1.40883065952041e-94	LG	CG42394
4.78534507413666e-90	1.78098261855326	0.946	0.298	7.69052806864503e-86	LG	CG42566
1.09362697151672e-82	1.17068073437807	0.963	0.347	1.75756790592452e-78	LG	He
5.87196029266533e-65	1.01080643031647	0.945	0.371	9.43682738634245e-61	LG	CG4250
6.78139818493703e-63	1.56332027744075	0.914	0.315	1.08983850230123e-58	LG	GstO3
1.49255249617164e-62	1.08555268978204	0.935	0.371	2.39868111659744e-58	LG	CG15098
7.58061836387231e-58	1.03454052627152	0.914	0.315	1.21828117725792e-53	LG	CG33460
1.16380470170109e-54	1.07310523347751	0.943	0.411	1.87035053610382e-50	LG	CG8157
1.12581952492329e-49	1.07962927214015	0.871	0.29	1.80930455850423e-45	LG	AnxB11
1.10812701572812e-48	1.08694727774802	0.922	0.46	1.78087092697666e-44	LG	AnxB9
4.70195563475227e-48	1.57738476696345	0.713	0.097	7.55651290061038e-44	LG	CG44250
1.63036110667552e-31	1.18782574494126	0.625	0.121	2.62015333453823e-27	LG	PGRP-LB
5.78469661709918e-27	1.04318636631187	0.706	0.234	9.2965859333401e-23	LG	GstD3
2.07155343836156e-26	1.22874219316793	0.919	0.71	3.32919353079087e-22	LG	Nplp2
9.50837958138279e-16	1.65322186622147	0.572	0.21	1.52809168252403e-11	LG	CG42807
3.03825084759231e-124	1.60819237186318	0.815	0.598	4.8827729371656e-120	Circ	His3.3B
7.16750900415726e-115	1.50159121425617	0.782	0.592	1.15189037205811e-110	Circ	lola
6.7470113262179e-100	1.60228600490774	0.605	0.335	1.08431219023648e-95	Circ	A2bp1
1.70477977518665e-99	1.89850489166206	0.419	0.07	2.73975157670246e-95	Circ	Tet
5.82195981973204e-96	1.79756491693776	0.565	0.361	9.35647162629136e-92	Circ	brat
4.52645966241846e-94	1.43830372203813	0.613	0.234	7.2744733234727e-90	Circ	nmo
1.52668660992024e-88	3.20584102456129	0.524	0.087	2.45353805080282e-84	Circ	28SrRNA-Psi:CR45855
4.65982709938374e-83	1.27996973913361	0.815	0.784	7.4888081314196e-79	Circ	Unr
2.51305750068531e-82	1.30104100096666	0.774	0.653	4.03873470935136e-78	Circ	fs(1)h
1.13200753676707e-78	1.31301801616339	0.653	0.381	1.81924931233836e-74	Circ	sbb
8.85084772073604e-75	1.37681427816083	0.581	0.248	1.42241973719949e-70	Circ	CG32767
1.49907456855515e-74	1.36616187556138	0.556	0.143	2.40916273912498e-70	Circ	Gug
2.85848007120115e-73	1.19122083285785	0.54	0.266	4.59386332242737e-69	Circ	hts
1.44316887375223e-71	2.25784889130164	0.339	0.012	2.31931669700721e-67	Circ	elav
6.87382289160669e-71	1.84983291556123	0.516	0.08	1.10469207691011e-66	Circ	chrb
9.19319349567913e-70	1.98740555281284	0.379	0.016	1.47743812669059e-65	Circ	l(3)neo38
1.81898369651287e-68	1.74100058518497	0.298	0.02	2.92328869866583e-64	Circ	sm
3.09596183615296e-67	1.70956267019966	0.694	0.234	4.97552026688142e-63	Circ	scyl
6.41817513417379e-67	3.90440742582063	0.452	0.127	1.03146492581307e-62	Circ	28SrRNA-Psi:CR45859
1.2463649424403e-66	1.91242191316524	0.379	0.018	2.00303309899581e-62	Circ	noe
