p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.37331795250772e-27	1.45110786765401	0.984	0.785	1.34567592814752e-22	LG	RpL23A
2.3223162460764e-24	1.01304147981555	1	0.938	3.73219443906939e-20	LG	RpS19a
2.49141997199607e-24	1.16619208965697	1	0.923	4.00396103699488e-20	LG	RpS18
1.29013169181849e-23	1.21920745851689	1	0.846	2.0733706419215e-19	LG	RpL9
2.69865472603892e-23	1.0745967862038	1	0.923	4.33700801021714e-19	LG	RpS27A
2.80932995707572e-23	1.18759029829815	1	0.862	4.5148741740164e-19	LG	RpS3
3.52019381968322e-23	1.14635359901745	1	0.908	5.65730348761291e-19	LG	RpS24
6.50327371315575e-22	1.13998585774258	1	0.908	1.04514111844126e-17	LG	RpL24
8.35197872656849e-22	1.06364663255718	1	0.969	1.34224650114682e-17	LG	RpL13
1.9400259171265e-21	1.05950849889283	1	0.892	3.11781565141399e-17	LG	RpL13A
7.96066447883623e-21	1.01819763796965	1	0.908	1.27935838839377e-16	LG	RpL6
1.21487101382391e-20	1.08265735947371	1	0.923	1.9524192063164e-16	LG	RpL37a
1.36434840564514e-20	1.09602537139138	1	0.938	2.19264432271231e-16	LG	RpS13
2.82115735126196e-20	1.11287868032359	0.984	0.892	4.5338819792131e-16	LG	eIF-5A
4.10340910408362e-20	2.12223113959528	0.688	0	6.59458877117278e-16	LG	E(spl)m2-BFM
5.01601573412788e-20	1.02963761891434	1	0.954	8.06123888631692e-16	LG	RpS26
5.83191682764169e-20	1.09486484247356	1	0.923	9.37247353370295e-16	LG	RpS23
8.06077578905475e-20	1.0307317881878	1	0.892	1.29544727705899e-15	LG	RpL11
1.01502038071045e-19	1.0107996684918	1	0.938	1.63123925383976e-15	LG	RpS11
1.35445451406182e-19	1.02097787839932	1	0.938	2.17674384954876e-15	LG	RpS8
1.6380836878136e-19	1.05821763229893	1	0.938	2.63256429468524e-15	LG	RpL10Ab
2.44693501993427e-19	1.0124322627886	1	0.892	3.93246927053637e-15	LG	RpS20
9.51484828266345e-18	1.02512166211659	1	0.938	1.52913126750684e-13	LG	RpS5a
1.03753454268748e-17	1.88541107056601	0.625	0	1.66742176355304e-13	LG	E(spl)m3-HLH
1.58451342774385e-17	1.00122014519243	1	0.892	2.54647152972714e-13	LG	RpS6
5.30517028963345e-17	1.23199063011531	0.984	0.738	8.52593917246992e-13	LG	CG2852
1.27573620298704e-16	1.0294586252203	0.984	0.862	2.05023565182048e-12	LG	RpL35A
1.36110046359094e-15	1.06276159357734	1	0.923	2.187424555037e-11	LG	awd
1.68676572342081e-15	1.86613455161544	0.703	0.046	2.71080119410959e-11	LG	CG43164
8.53909958397974e-15	2.05883596634044	0.672	0.046	1.37231869414138e-10	LG	E(spl)malpha-BFM
4.57736750271062e-13	1.25896279592292	0.75	0.123	7.35628731360624e-09	LG	GILT1
6.99056263262353e-13	1.42137166100395	0.688	0.092	1.12345332068893e-08	LG	miple2
2.96517956718975e-12	1.3404264829306	0.656	0.077	4.76534008243065e-08	LG	CG6891
4.93392749985971e-12	1.00251906782243	0.953	0.646	7.92931488502454e-08	LG	Ef1gamma
1.26312892138923e-11	1.21852684059715	0.812	0.292	2.02997448956463e-07	LG	CG1943
1.0040154940984e-10	2.34780392054161	0.406	0	1.61355330056554e-06	LG	E(spl)m4-BFM
1.92103817158622e-09	1.14531482364956	0.516	0.046	3.08730044555621e-05	LG	kune
3.75764096770855e-09	1.46793687544027	0.547	0.077	6.03890479920441e-05	LG	E(spl)m7-HLH
4.13029479996515e-09	1.14312133826757	0.688	0.169	6.63779677302399e-05	LG	Chd64
5.71421947884145e-09	1.03105777751057	0.719	0.215	9.1833221244461e-05	LG	AnxB9
6.38943177061448e-09	1.13862004126284	0.547	0.077	0.000102684557985545	LG	Sip1
