Symbol	Circ_p_val	Circ_avg_logFC	Circ_pct.1	Circ_pct.2	Circ_p_val_adj	LG_p_val	LG_avg_logFC	LG_pct.1	LG_pct.2	LG_p_val_adj	max_pval	minimump_p_val
Inx2	5.53103568253095e-40	1.37435156592459	0.492	0.038	8.88892744539549e-36	1.24495296318781e-107	1.85508139198376	0.719	0.052	2.00076390713913e-103	5.53103568253095e-40	2.48990592637563e-107
Tet	5.09236957662678e-97	2.15862521249865	0.692	0.224	8.18394714659691e-93	2.44848876394771e-36	1.13435319632526	0.5	0.086	3.93496629254037e-32	2.44848876394771e-36	1.01847391532536e-96
ogre	8.91141667699008e-56	1.8382627843568	0.6	0.01	1.43215377415908e-51	1.58227108985384e-94	1.7205089244052	0.688	0.005	2.54286786850411e-90	8.91141667699008e-56	3.16454217970769e-94
brat	2.20504100852037e-81	2.05358463056473	0.769	0.47	3.54372140479309e-77	2.15083755289425e-25	1.02769709833768	0.672	0.359	3.45661103125635e-21	2.15083755289425e-25	4.41008201704075e-81
vfl	1.17807935430619e-39	1.47715199049483	0.462	0.01	1.89329133030548e-35	5.96240335813959e-81	1.26641035587596	0.609	0.002	9.58217843686613e-77	1.17807935430619e-39	1.19248067162792e-80
l(3)neo38	3.07266297164555e-75	2.51446637827331	0.723	0.049	4.93807666173157e-71	1.17799590157495e-64	1.30090132832029	0.609	0.031	1.8931572134211e-60	1.17799590157495e-64	6.14532594329111e-75
Fas2	4.56552395527075e-21	1.12230541518123	0.277	0.017	7.33725354851562e-17	4.03828848335368e-75	1.70908713882942	0.594	0.006	6.48993342159769e-71	4.56552395527075e-21	8.07657696670737e-75
Dl	8.7263458722327e-42	1.65822692894264	0.446	0.003	1.40241104512652e-37	9.45618252565962e-67	1.326257233228	0.516	0.003	1.51970309369876e-62	8.7263458722327e-42	1.89123650513193e-66
sbb	1.22921142490431e-64	1.41326405829685	0.862	0.548	1.97546568096372e-60	5.03831644136671e-41	1.17766724234417	0.766	0.373	8.09707835292044e-37	5.03831644136671e-41	2.45842284980863e-64
Df31	2.61343780588442e-35	1.06408630230029	0.892	0.949	4.20005589783686e-31	1.05682732569933e-53	1.20452092531952	1	0.978	1.6984271951314e-49	2.61343780588442e-35	2.11365465139867e-53
jim	3.74178085482454e-25	1.21718132863164	0.385	0.311	6.01341601178852e-21	4.27789773667557e-53	1.34115911393911	0.797	0.284	6.87500945261131e-49	3.74178085482454e-25	8.55579547335116e-53
Argk	2.76613441802269e-46	1.93138243947204	0.615	0.038	4.44545462320426e-42	2.2664953118555e-33	1.05810940756327	0.281	0.003	3.64248461568298e-29	2.2664953118555e-33	5.53226883604538e-46
bi	7.93457190498077e-32	1.87553655464167	0.323	0.002	1.27516505084946e-27	4.80720837952548e-45	1.11422058748255	0.312	0.001	7.72566458673541e-41	7.93457190498077e-32	9.61441675905099e-45
Dsp1	4.24515798408533e-43	1.21111694626354	0.8	0.552	6.82239339622353e-39	6.88995983384782e-44	1.26222086203509	0.766	0.342	1.10728544489768e-39	4.24515798408533e-43	1.37799196676957e-43
Cirl	4.62543277244146e-41	1.27035373861991	0.662	0.314	7.43353300859067e-37	2.45763328611944e-32	1.06529994290277	0.516	0.173	3.94966245412255e-28	2.45763328611944e-32	9.25086554488294e-41
CG42342	7.42819351339593e-41	1.49251440502795	0.415	0.003	1.19378497953786e-36	1.89470603909204e-31	1.16256565452225	0.312	0.005	3.04498207542481e-27	1.89470603909204e-31	1.48563870267919e-40
mbl	4.30601205946812e-31	1.09707123633038	0.815	0.617	6.92019198077121e-27	1.22648939708401e-36	1.17639556143339	0.75	0.343	1.97109111005372e-32	4.30601205946812e-31	2.45297879416803e-36
crol	5.88828572033119e-35	1.05905831195922	0.846	0.631	9.46306398114426e-31	2.4627921337551e-33	1.04048534396206	0.656	0.454	3.95795323815783e-29	2.4627921337551e-33	1.17765714406624e-34
gro	1.12837453440396e-33	1.0797217224788	0.708	0.522	1.81341071424061e-29	3.15870566253068e-34	1.08435368034731	0.656	0.314	5.07635587025306e-30	1.12837453440396e-33	6.31741132506138e-34
stai	4.65831265944328e-12	1.09858496422521	0.415	0.263	7.48637427499129e-08	7.08945087058473e-29	1.23379461439662	0.672	0.227	1.13934564941167e-24	4.65831265944328e-12	1.41789017411695e-28
tna	1.24733382745984e-27	1.262757139951	0.815	0.354	2.00459019411071e-23	3.92627797892632e-24	1.14461865115862	0.688	0.233	6.30992133993248e-20	3.92627797892632e-24	2.49466765491969e-27
scyl	2.18940543121412e-17	1.0195858196849	0.769	0.709	3.51859346850422e-13	1.84467838655035e-22	1.12169519186697	0.703	0.284	2.96458263502507e-18	2.18940543121412e-17	3.68935677310071e-22
