p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.74512973516287e-39	1.20123997410504	0.987	0.611	2.80459799738025e-35	LG	CG42394
9.65208779826767e-28	1.32834787006128	0.953	0.537	1.5511870300596e-23	LG	CG42566
5.36287688858838e-14	1.15572888469108	0.671	0.167	8.61867944765038e-10	LG	CG44250
1.75835514352158e-12	1.00635557946329	0.663	0.185	2.82585255115353e-08	LG	Nrt
2.05920930726868e-11	1.08147435240596	0.633	0.204	3.30935527771149e-07	LG	PGRP-LB
1.74148238282887e-44	1.80839874832958	0.704	0.2	2.79873633744428e-40	Circ	Lsd-2
4.68920709881052e-33	3.63025633706945	0.444	0.083	7.53602472849839e-29	Circ	28SrRNA-Psi:CR45855
1.74477977109081e-31	4.52197743936692	0.389	0.136	2.80403557012004e-27	Circ	28SrRNA-Psi:CR45859
8.37532616999127e-20	1.5804432509962	0.37	0.206	1.3459986687793e-15	Circ	Dbi
1.16104609432523e-19	1.16225895426484	0.593	0.225	1.86591717819008e-15	Circ	scyl
1.86272283706808e-16	1.07927878296539	0.685	0.481	2.99358187145212e-12	Circ	Hsp27
3.27111457591601e-15	1.26164251183651	0.481	0.144	5.25700823495462e-11	Circ	Cg25C
4.63130662373389e-12	1.61231699903814	0.519	0.231	7.44297287500273e-08	Circ	ced-6
2.19690704808025e-09	1.96092655896127	0.37	0.422	3.53064931696978e-05	Circ	Nedd4
