p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.64134613072838	0.929	0.909	0	LG	CG8157
0	1.56114090132215	0.967	0.839	0	LG	CG42807
0	1.29937773175697	0.729	0.24	0	LG	CG30090
1.07004014236665e-262	1.03088650983106	0.498	0.122	1.71966151279744e-258	LG	CG44250
9.18194360762333e-259	1.25179401676009	0.676	0.384	1.47563015718114e-254	LG	CG2444
1.37628516054044e-201	1.03394037447131	0.826	0.626	2.21182788150454e-197	LG	GstO3
3.89533577668817e-187	1.03293064891905	0.433	0.157	6.26019412671556e-183	LG	GstD3
0	2.37420013547583	0.723	0.087	0	Circ	28SrRNA-Psi:CR45855
0	2.20470541858655	0.522	0.112	0	Circ	28SrRNA-Psi:CR45859
0	1.47249234505897	0.56	0.167	0	Circ	LpR2
0	1.37532212978339	0.767	0.23	0	Circ	Lsd-2
0	1.34088007249744	0.822	0.419	0	Circ	18SrRNA-Psi:CR41602
0	1.31697915418604	0.667	0.136	0	Circ	CG4829
0	1.23872688403896	0.877	0.452	0	Circ	Ten-m
0	1.20789775682619	0.996	0.866	0	Circ	Glt
0	1.20233069794198	0.424	0.03	0	Circ	nrv3
0	1.17297757645962	0.923	0.633	0	Circ	His3.3B
0	1.17206304483604	0.884	0.474	0	Circ	Ance-5
0	1.15060830366612	0.928	0.693	0	Circ	sty
0	1.1477884495841	0.937	0.527	0	Circ	CG8501
0	1.09555135432443	0.967	0.767	0	Circ	Ppn
0	1.09255701177694	0.985	0.891	0	Circ	Pxn
0	1.08576552927291	0.994	0.896	0	Circ	Cg25C
0	1.06172800695986	0.989	0.921	0	Circ	Hml
0	1.06099748132765	1	0.998	0	Circ	mt:lrRNA
0	1.06025316911123	0.867	0.499	0	Circ	CG5397
0	1.05999715039214	0.976	0.846	0	Circ	LanB1
0	1.03658457208193	0.973	0.85	0	Circ	mt:ND4
0	1.02719944182413	0.972	0.78	0	Circ	Sr-CI
