p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.95625266429962	0.988	0.909	0	LG	CG8157
0	1.36521385515185	0.733	0.24	0	LG	CG30090
0	1.18502029044478	0.965	0.737	0	LG	CG42394
0	1.15238389382017	0.956	0.839	0	LG	CG42807
9.83003823213582e-270	1.20386915408417	0.521	0.157	1.57978544428655e-265	LG	GstD3
2.77087052176203e-229	1.21673233932939	0.645	0.384	4.45306601552376e-225	LG	CG2444
2.89109471963224e-191	1.02688015104618	0.452	0.14	4.64627832392098e-187	LG	lectin-24A
0	2.36044147024865	0.723	0.083	0	Circ	28SrRNA-Psi:CR45855
0	2.14325748837699	0.522	0.12	0	Circ	28SrRNA-Psi:CR45859
0	1.84439582966424	0.938	0.378	0	Circ	CG8501
0	1.51630598637244	0.561	0.138	0	Circ	LpR2
0	1.38686895510224	0.767	0.203	0	Circ	Lsd-2
0	1.30395195616909	0.996	0.829	0	Circ	Glt
0	1.29550740519192	0.877	0.374	0	Circ	Ten-m
0	1.27966434974578	0.822	0.402	0	Circ	18SrRNA-Psi:CR41602
0	1.27322802678777	0.668	0.15	0	Circ	CG4829
0	1.25016460706784	0.74	0.186	0	Circ	fat-spondin
0	1.19042809387381	0.425	0.033	0	Circ	nrv3
0	1.15550439671807	0.885	0.461	0	Circ	Ance-5
0	1.13124573334332	0.868	0.419	0	Circ	CG5397
0	1.12773533322486	0.924	0.619	0	Circ	His3.3B
0	1.07873083285339	0.747	0.348	0	Circ	CG10131
0	1.07820426571563	0.993	0.929	0	Circ	Hsc70-3
0	1.0647584022572	0.995	0.878	0	Circ	Cg25C
0	1.03829603233467	0.833	0.421	0	Circ	ena
1.8656809625027e-304	1.23697149753169	0.702	0.404	2.99833587483809e-300	Circ	Hsp27
4.19568753954183e-228	1.17048359396896	0.434	0.107	6.74288944479768e-224	Circ	Cpr49Ac
