p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
6.67598880142484e-38	1.82644040354568	0.964	0.808	1.09532948264977e-33	LG	CG8157
1.26360807896525e-20	1.15008413306429	0.873	0.591	2.07320177515829e-16	LG	CG42807
2.90148687971634e-56	1.13920450181859	0.762	0.877	4.7604695235506e-52	Circ	lncRNA:CR40469
1.23419117304792e-55	2.80975108258286	0.725	0.076	2.02493745761973e-51	Circ	28SrRNA-Psi:CR45855
4.00053320837067e-53	1.41043710793336	0.798	0.33	6.56367483497375e-49	Circ	Lsd-2
3.0533248595843e-50	1.06456706607234	0.953	0.862	5.00959009711996e-46	Circ	mt:ND4
5.68688165831658e-50	1.21503382645102	1	1	9.33046673680002e-46	Circ	mt:lrRNA
2.92143841569e-47	1.88982369168454	0.782	0.605	4.79320400862259e-43	Circ	pre-rRNA:CR45856
3.15887631210849e-39	2.69695470214262	0.684	0.159	5.1827683652764e-35	Circ	28SrRNA-Psi:CR45859
7.25439881945444e-39	1.02842081307426	0.943	0.83	1.19022921430789e-34	Circ	Glt
6.56191387037764e-28	1.49663720733952	0.694	0.304	1.07661320871286e-23	Circ	CG8501
1.74361887678119e-24	1.40368999271806	0.808	0.402	2.8607554911349e-20	Circ	Pde1c
2.43743742997372e-24	1.46543867534535	0.715	0.373	3.99910359135788e-20	Circ	18SrRNA-Psi:CR41602
1.54233791031942e-10	1.03412151743111	0.71	0.518	2.53051380946108e-06	Circ	Naxd
