p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.2575829941365e-20	1.03000344593709	0.752	0.173	1.35482164184798e-15	LG	Arc2
8.74121975377504e-19	1.11211344199002	0.982	0.692	1.43417192500187e-14	LG	fbp
1.19963757769531e-17	1.05955732351928	0.982	0.894	1.9682453737247e-13	LG	aay
3.55938370321028e-15	1.91386449775811	0.912	0.654	5.83988084185711e-11	LG	CG8157
1.10843656062024e-08	1.38710491542933	0.513	0.154	0.000181861186500962	LG	Oscillin
3.01329452615391e-36	1.53162275144065	1	1	4.94391232906072e-32	Circ	mt:lrRNA
8.59868950504652e-32	1.3160159198942	0.971	0.788	1.41078698709298e-27	Circ	mt:ND4
1.52720343200353e-28	1.41020452070943	0.913	0.681	2.5056826708882e-24	Circ	Pxn
2.95452164494142e-23	1.17581392480306	0.99	0.841	4.84748366285538e-19	Circ	Pde1c
4.17322154373119e-23	1.23429855012368	0.962	0.885	6.84700458679976e-19	Circ	mt:ND5
6.61011043869532e-23	1.27933556891528	0.75	0.372	1.08452081967674e-18	Circ	Lsd-2
1.36551299179343e-20	1.23091652342388	0.904	0.708	2.24039716563548e-16	Circ	Glt
4.38894200844884e-20	1.96263307998076	0.654	0.655	7.20093715326202e-16	Circ	pre-rRNA:CR45856
6.91493167444015e-20	2.4158402314131	0.644	0.097	1.1345328398254e-15	Circ	28SrRNA-Psi:CR45855
2.34111934361657e-19	1.13338684155842	0.875	0.823	3.8410745070717e-15	Circ	Hml
1.33129809554813e-17	2.34096803801344	0.683	0.168	2.18426078536582e-13	Circ	28SrRNA-Psi:CR45859
2.30929015920858e-16	2.09413897498083	0.385	0	3.78885236421352e-12	Circ	28SrRNA-Psi:CR40596
2.27439589825692e-15	1.09896336093085	0.981	0.894	3.73160135027013e-11	Circ	lncRNA:CR34335
6.14495737517278e-14	1.45249055353143	0.663	0.389	1.0082031565446e-09	Circ	18SrRNA-Psi:CR41602
8.91559687366011e-14	1.050810274193	0.837	0.699	1.46278197906141e-09	Circ	Col4a1
5.48489899937207e-13	1.27109603537425	0.663	0.274	8.99907378826975e-09	Circ	fmt
1.64363815406447e-12	1.29621572363037	0.298	0	2.69671711937358e-08	Circ	JhI-26
3.45924323854671e-11	1.419284442871	0.788	0.487	5.67558038148359e-07	Circ	Naxd
6.83499374007902e-11	1.71041563055103	0.26	0	1.12141742293477e-06	Circ	pre-rRNA:CR45845
3.57074543384697e-10	1.10390836321859	0.519	0.15	5.85852203331272e-06	Circ	CG8501
1.55836012023033e-08	1.18533657630403	0.663	0.558	0.00025568014492619	Circ	Ppn
5.8054835996546e-08	1.08300834268893	0.471	0.159	0.000952505694195331	Circ	vir-1
1.04169322125504e-07	1.0775368761739	0.587	0.336	0.00170910606811314	Circ	CG12065
