p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.09157307774279	0.782	0.309	0	LG	lncRNA:CR43855
0	1.9754397860308	0.852	0.598	0	LG	Ance
0	1.85085976251947	0.924	0.817	0	LG	CG8157
0	1.41187026627647	0.805	0.747	0	LG	CG42807
0	1.32001494314237	0.579	0.089	0	LG	CG44250
0	1.29645502136502	0.451	0.039	0	LG	lncRNA:CR45045
0	1.2851840752927	0.831	0.464	0	LG	Tep4
0	1.28347249971088	0.862	0.536	0	LG	GstO3
0	1.24820566323583	0.928	0.651	0	LG	CG42394
0	1.2080988744532	0.898	0.39	0	LG	CG33460
0	1.18320370768557	0.632	0.163	0	LG	CG30090
0	1.06968788896496	0.529	0.176	0	LG	GstD3
0	1.01662894547325	0.416	0.033	0	LG	PGRP-LB
0	1.01343526092615	0.428	0.065	0	LG	CG15347
1.01506923019587e-228	1.02710930744447	0.538	0.309	1.66542408598236e-224	LG	CG2444
0	3.66688203204519	0.302	0.004	0	Circ	Ubx
0	2.18649242377028	0.46	0.119	0	Circ	28SrRNA-Psi:CR45859
0	2.17399838017963	0.541	0.088	0	Circ	28SrRNA-Psi:CR45855
0	1.99849774202883	0.942	0.591	0	Circ	Ppn
0	1.79827072116686	0.966	0.566	0	Circ	Glt
0	1.74924259452576	0.958	0.633	0	Circ	Pxn
0	1.63006064769435	0.965	0.609	0	Circ	Col4a1
0	1.54433456372219	0.967	0.797	0	Circ	Hml
0	1.52734563536567	0.274	0	0	Circ	28SrRNA-Psi:CR40596
0	1.51458538230916	0.83	0.304	0	Circ	Ance-5
0	1.50070316142099	0.897	0.363	0	Circ	CG8501
0	1.50017725534716	0.587	0.199	0	Circ	LpR2
0	1.48554476759184	0.637	0.08	0	Circ	CG4829
0	1.474392026628	0.628	0.281	0	Circ	lectin-28C
0	1.43368234242499	0.695	0.622	0	Circ	pre-rRNA:CR45856
0	1.39799295044814	0.798	0.352	0	Circ	LanB2
0	1.39065852349819	0.801	0.32	0	Circ	Ten-m
0	1.3900248633965	0.93	0.707	0	Circ	LanB1
0	1.36350460731176	0.719	0.177	0	Circ	fat-spondin
0	1.35772312553404	0.809	0.344	0	Circ	CG5397
0	1.35031124954529	0.931	0.545	0	Circ	vkg
0	1.3327571732411	0.891	0.52	0	Circ	Sr-CI
0	1.32062365441901	0.88	0.559	0	Circ	LanA
0	1.31365390645405	1	0.998	0	Circ	mt:lrRNA
0	1.24685863006281	0.417	0.021	0	Circ	nrv3
0	1.23397434741795	0.663	0.238	0	Circ	Lsd-2
0	1.23390875902477	0.689	0.906	0	Circ	lncRNA:CR40469
0	1.17455373287102	0.865	0.512	0	Circ	NtR
0	1.15763865699675	0.654	0.479	0	Circ	CG12065
0	1.14823911254758	0.518	0.206	0	Circ	PH4alphaEFB
0	1.13466559779825	0.76	0.32	0	Circ	Tig
0	1.09856531057163	0.535	0.159	0	Circ	Meltrin
0	1.08440265416771	0.968	0.846	0	Circ	mt:ND4
0	1.07687336562402	0.836	0.618	0	Circ	His3.3B
0	1.06859320772393	0.741	0.386	0	Circ	CG34437
0	1.06581165898507	0.828	0.624	0	Circ	sty
0	1.05382291102121	0.979	0.952	0	Circ	lncRNA:CR34335
0	1.03863845366419	0.623	0.428	0	Circ	18SrRNA-Psi:CR41602
0	1.03825095710652	0.948	0.83	0	Circ	mt:ND5
0	1.03519796603186	0.357	0.042	0	Circ	CG34232
0	1.01888707425594	0.871	0.533	0	Circ	l(1)G0289
0	1.00511615526835	0.487	0.106	0	Circ	CG3961
3.45740378906581e-173	1.62977936528011	0.302	0.113	5.67256239672028e-169	Circ	PPO2
