p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.15784697776321e-233	1.15958856694136	0.999	0.817	3.54037953641611e-229	LG	RpL23A
1.31018544612652e-122	1.68881183436738	0.988	0.317	2.14962126145978e-118	LG	Ance
4.03019196275784e-100	1.57655501261564	0.963	0.242	6.61233595329679e-96	LG	Tep4
1.1690106746808e-96	1.63823164538708	0.976	0.408	1.91799581394879e-92	LG	CG42394
1.00436384444093e-92	2.5933242590197	0.933	0.258	1.64785975957423e-88	LG	lncRNA:CR43855
5.28632230953739e-88	1.78891714597271	0.946	0.292	8.67326901325799e-84	LG	CG42566
1.42910062135411e-85	1.23719409752244	0.963	0.317	2.34472538945568e-81	LG	He
7.42877109888758e-67	1.20679376053324	0.935	0.342	1.21883847419448e-62	LG	CG15098
6.97482144358399e-65	1.6126950580616	0.914	0.283	1.14435895424882e-60	LG	GstO3
8.1202783313171e-64	1.02288359218857	0.945	0.367	1.3322940658192e-59	LG	CG4250
6.25923003312487e-60	1.09427035545438	0.914	0.292	1.0269518715348e-55	LG	CG33460
1.36988950129465e-57	1.10586255296428	0.935	0.392	2.24757770477413e-53	LG	Chd64
6.47504369048013e-55	1.10697012296678	0.943	0.4	1.06236041829707e-50	LG	CG8157
3.75796310576391e-52	1.08560927500025	0.916	0.358	6.16569006762685e-48	LG	CG1572
1.90779872757365e-50	1.12330289188529	0.922	0.433	3.13012537233009e-46	LG	AnxB9
2.62371161604927e-50	1.11821988531394	0.871	0.275	4.30472364845204e-46	LG	AnxB11
1.29166776734458e-48	1.02322490676255	0.913	0.383	2.11923930588226e-44	LG	zfh1
1.76817224538485e-48	1.56417858481537	0.713	0.075	2.90104020300292e-44	LG	CG44250
5.46628861042563e-31	1.19482722336308	0.625	0.117	8.96853972312532e-27	LG	PGRP-LB
1.38921064007923e-29	1.07229587615005	0.735	0.233	2.279277897178e-25	LG	CG6891
8.83473219562109e-28	1.35979311426904	0.47	0.025	1.44951451133555e-23	LG	lncRNA:CR45045
4.32771448181158e-27	1.25635974054268	0.919	0.7	7.10048115030825e-23	LG	Nplp2
1.46384337812267e-26	1.07442067420947	0.706	0.233	2.40172783048586e-22	LG	GstD3
4.77811595444571e-17	1.77474702325668	0.572	0.192	7.83945484645908e-13	LG	CG42807
2.17251472967065e-203	2.41337473632432	0.992	0.905	3.56444491697063e-199	Circ	lncRNA:CR40469
1.80089454417276e-128	1.63391742229419	0.808	0.598	2.95472767862425e-124	Circ	His3.3B
2.3173305219736e-115	1.51635967698362	0.775	0.592	3.80204418740208e-111	Circ	lola
6.6037477468965e-102	1.62378135346897	0.6	0.335	1.08347689283331e-97	Circ	Rbfox1
2.53151451114911e-101	1.9256231353443	0.425	0.07	4.15345585844235e-97	Circ	Tet
1.28670376238432e-100	1.82541111839429	0.558	0.361	2.11109486294396e-96	Circ	brat
2.24739244072383e-99	1.46790909648124	0.608	0.234	3.68729677749559e-95	Circ	nmo
1.26552247608164e-92	3.26677806726303	0.542	0.087	2.07634272650715e-88	Circ	28SrRNA-Psi:CR45855
7.36373596751959e-88	1.34011797240233	0.783	0.653	1.20816816019094e-83	Circ	fs(1)h
1.99937168127428e-83	1.29416227854841	0.808	0.784	3.28036911746671e-79	Circ	Unr
2.29655279220951e-80	1.3260265693237	0.642	0.381	3.76795416617813e-76	Circ	sbb
1.63990985517224e-75	1.37348441809555	0.525	0.143	2.69060009938109e-71	Circ	Gug
4.03571920542291e-75	1.21513809808901	0.55	0.266	6.62140450033737e-71	Circ	hts
2.43244143269785e-73	4.01553018696714	0.467	0.127	3.99090665862735e-69	Circ	28SrRNA-Psi:CR45859
2.48923425733112e-72	1.87928500261402	0.533	0.08	4.08408664600316e-68	Circ	chrb
2.770661422295e-72	2.2880168587688	0.35	0.012	4.54582419555941e-68	Circ	elav
2.50584282516764e-71	1.80841748547458	0.317	0.02	4.11133632325255e-67	Circ	sm
1.39978484491985e-70	2.01655118814797	0.392	0.016	2.29662699505999e-66	Circ	l(3)neo38
1.8036346541449e-70	1.35745760522607	0.558	0.248	2.95922337705554e-66	Circ	CG32767
1.57852499297648e-67	1.17964928789171	0.725	0.44	2.58988595597651e-63	Circ	crol
