p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.49641225643191e-27	1.45103284171994	0.984	0.785	1.39400635891278e-22	LG	RpL23A
2.34025742153211e-24	1.01302043984907	1	0.938	3.83966035150774e-20	LG	RpS19a
2.50982870081889e-24	1.16613902308023	1	0.923	4.11787594943355e-20	LG	RpS18
1.28146479927604e-23	1.21933704339197	1	0.846	2.1024992961722e-19	LG	RpL9
2.71498598129458e-23	1.07463000530902	1	0.923	4.45447749951001e-19	LG	RpS27A
2.81958127637973e-23	1.18762693675759	1	0.862	4.62608700015622e-19	LG	RpS3
3.53441407556184e-23	1.14638562405973	1	0.908	5.79891317377431e-19	LG	RpS24
6.54545396049975e-22	1.13991512066194	1	0.908	1.07391263129919e-17	LG	RpL24
8.37105978990042e-22	1.06362494495032	1	0.969	1.37343977972896e-17	LG	RpL13
1.9372441218425e-21	1.05949591352269	1	0.892	3.178436430707e-17	LG	RpL13A
7.94810516220905e-21	1.01816277182449	1	0.908	1.30404561396364e-16	LG	RpL6
1.22709465468784e-20	1.08262231037294	1	0.923	2.01329419994634e-16	LG	RpL37a
1.37291310068775e-20	1.09598880426486	1	0.938	2.25253852429839e-16	LG	RpS13
2.84176837678451e-20	1.11291789067384	0.984	0.892	4.66248937579035e-16	LG	eEF5
4.10340910408362e-20	2.12289479906376	0.688	0	6.73246331706999e-16	LG	E(spl)m2-BFM
5.00507003661515e-20	1.02965338912525	1	0.954	8.21181840907448e-16	LG	RpS26
5.84527777943041e-20	1.09489127438436	1	0.923	9.59034725271147e-16	LG	RpS23
8.06144426014567e-20	1.03077283104282	1	0.892	1.3226411597621e-15	LG	RpL11
1.01635030890879e-19	1.01078332110929	1	0.938	1.66752595182665e-15	LG	RpS11
1.35279726468391e-19	1.02098312477084	1	0.938	2.21953447216689e-15	LG	RpS8
1.6378002376225e-19	1.05822127778961	1	0.938	2.68713884986723e-15	LG	RpL10Ab
2.43772378515329e-19	1.01246289330025	1	0.892	3.99957341430101e-15	LG	RpS20
9.61415440093096e-18	1.02507990529677	1	0.938	1.57739431256074e-13	LG	RpS5a
1.03753454268748e-17	1.88593953991586	0.625	0	1.70228292418734e-13	LG	E(spl)m3-HLH
1.60079377039815e-17	1.00117150809965	1	0.892	2.62642233909225e-13	LG	RpS6
5.40358418915426e-17	1.23182157661326	0.984	0.738	8.86566057914539e-13	LG	CG2852
1.27413430760547e-16	1.02960985411448	0.984	0.862	2.09047215848829e-12	LG	RpL35A
1.36797465569891e-15	1.06260355141385	1	0.923	2.2444360176052e-11	LG	awd
1.68690416060479e-15	1.86649346708843	0.703	0.046	2.76770365630428e-11	LG	nw
8.54231858434455e-15	2.05940239796088	0.672	0.046	1.40153821013341e-10	LG	E(spl)malpha-BFM
4.57318705672916e-13	1.25935522263138	0.75	0.123	7.50322800397553e-09	LG	GILT1
