Symbol	Circ_p_val	Circ_avg_logFC	Circ_pct.1	Circ_pct.2	Circ_p_val_adj	LG_p_val	LG_avg_logFC	LG_pct.1	LG_pct.2	LG_p_val_adj	max_pval	minimump_p_val
Inx2	1.29360354421467e-42	1.38952047311335	0.492	0.028	2.12241533499301e-38	1.24406728503366e-107	1.85554713553254	0.719	0.052	2.04114119455473e-103	1.29360354421467e-42	2.48813457006733e-107
heph	1.96742909512634e-15	1.00600549427235	0.554	0.356	3.22796091637378e-11	1.15594616443011e-104	1.88193796443645	0.781	0.314	1.89656087198049e-100	1.96742909512634e-15	2.31189232886023e-104
ogre	9.39542653663774e-61	1.84316297511809	0.6	0.008	1.54150763186615e-56	1.5799188695803e-94	1.72096724540245	0.688	0.005	2.5921728893204e-90	9.39542653663774e-61	3.1598377391606e-94
Tet	1.06405861480981e-91	2.18568345748151	0.692	0.183	1.74580096931845e-87	2.40432939069937e-36	1.13466292138087	0.5	0.086	3.94478323132046e-32	2.40432939069937e-36	2.12811722961962e-91
brat	4.8782948913311e-86	2.12486959482042	0.769	0.402	8.00381842820693e-82	2.06257761041633e-25	1.02805401328562	0.672	0.359	3.38407108541008e-21	2.06257761041633e-25	9.75658978266221e-86
zld	1.27243752925966e-42	1.47977800844899	0.462	0.008	2.08768825425632e-38	5.96241217950858e-81	1.26689312277147	0.609	0.002	9.78252966291973e-77	1.27243752925966e-42	1.19248243590172e-80
l(3)neo38	1.46285323435261e-78	2.51902632523641	0.723	0.04	2.40010330160233e-74	1.19476118708368e-64	1.30132745573171	0.609	0.031	1.9602446796482e-60	1.19476118708368e-64	2.92570646870523e-78
Fas2	6.66011494978921e-23	1.12890427316363	0.277	0.012	1.09272505981192e-18	4.03120749905954e-75	1.70954994959446	0.594	0.006	6.61400214370699e-71	6.66011494978921e-23	8.0624149981191e-75
Dl	2.81332339113389e-46	1.66296715590439	0.446	0.002	4.61581968783337e-42	9.39936375587451e-67	1.3267420692291	0.516	0.003	1.54215361142633e-62	2.81332339113389e-46	1.87987275117491e-66
lncRNA:CR40469	2.01144022740596e-39	1.50842552080122	0.985	0.684	3.30016998110496e-35	1.35129664490313e-65	1.53199863648486	1	0.905	2.21707240529257e-61	2.01144022740596e-39	2.70259328980626e-65
sbb	1.67049855298702e-64	1.48891157422823	0.862	0.462	2.74078697588581e-60	4.84586552792578e-41	1.17798138186521	0.766	0.373	7.95061157166783e-37	4.84586552792578e-41	3.34099710597405e-64
Df31	1.54072245836634e-40	1.27086275150442	0.892	0.868	2.52786333744166e-36	9.8089659562208e-54	1.20484298467447	1	0.978	1.60935704443715e-49	1.54072245836634e-40	1.96179319124416e-53
jim	5.67353939506435e-19	1.20583878180575	0.385	0.274	9.30857608548208e-15	4.05107540759996e-53	1.34150909870669	0.797	0.284	6.64659942124926e-49	5.67353939506435e-19	8.10215081519994e-53
Argk	1.21040981370638e-50	1.98628935202784	0.615	0.029	1.98591938134805e-46	2.25153748182806e-33	1.05854690583771	0.281	0.003	3.6940975464353e-29	2.25153748182806e-33	2.42081962741276e-50
bi	5.38287170619343e-35	1.87749596502107	0.323	0.001	8.83167760835155e-31	4.83472097744083e-45	1.11476460044597	0.312	0.001	7.93232670768718e-41	5.38287170619343e-35	9.66944195488169e-45
Dsp1	1.03591187233834e-37	1.20273950618553	0.8	0.506	1.69962060894551e-33	6.59020876627767e-44	1.2625909907616	0.766	0.342	1.08125555228318e-39	1.03591187233834e-37	1.31804175325554e-43
CG42342	8.97747171811035e-44	1.49238053124345	0.415	0.002	1.47293378479037e-39	1.88570262380321e-31	1.16301281194015	0.312	0.005	3.09387229487392e-27	1.88570262380321e-31	1.79549434362207e-43
Cirl	1.02384042814502e-38	1.30798274158199	0.662	0.262	1.67981499045754e-34	2.36436921268605e-32	1.0657763920221	0.516	0.173	3.879220567254e-28	2.36436921268605e-32	2.04768085629005e-38
mbl	7.71993613308168e-37	1.2923273829261	0.815	0.465	1.26660992135471e-32	1.18020810770434e-36	1.17675952504631	0.75	0.343	1.93636744231051e-32	1.18020810770434e-36	1.54398722661634e-36
crol	8.35876204176085e-36	1.14888415987114	0.846	0.534	1.3714220881917e-31	2.35919121614726e-33	1.04092539662112	0.656	0.454	3.87072502833281e-29	2.35919121614726e-33	1.67175240835217e-35
gro	3.20918802221933e-33	1.16114238313711	0.708	0.435	5.26531478805525e-29	3.03576772913792e-34	1.08470980895408	0.656	0.314	4.98078411319659e-30	3.20918802221933e-33	6.07153545827585e-34
tna	7.58669846952233e-30	1.35360735361319	0.815	0.275	1.24474961789453e-25	3.8448303478866e-24	1.14503131827689	0.688	0.233	6.30821315177755e-20	3.8448303478866e-24	1.51733969390447e-29
stai	9.91702259871508e-14	1.21903148701258	0.415	0.201	1.62708589777118e-09	6.93397759520769e-29	1.23411188077133	0.672	0.227	1.13765770404573e-24	9.91702259871508e-14	1.38679551904154e-28
scyl	3.27755197714624e-18	1.08777269041577	0.769	0.643	5.37747952890384e-14	1.79740930958126e-22	1.1221054396864	0.703	0.284	2.94900945422998e-18	3.27755197714624e-18	3.59481861916253e-22
