p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.35924955519372e-57	2.13456391391447	0.977	0.564	1.37150207452063e-52	LG	lncRNA:CR43855
5.43811358176226e-40	1.20359114290115	0.987	0.618	8.92231295359733e-36	LG	CG42394
1.09239681917869e-28	1.34226758475387	0.953	0.527	1.79229546122647e-24	LG	CG42566
2.15781864208529e-14	1.1622009953916	0.671	0.164	3.54033304606934e-10	LG	CG44250
7.40785627586462e-13	1.0124546657218	0.663	0.182	1.21540697918111e-08	LG	Nrt
1.80382925231956e-11	1.33705037778816	0.398	0.018	2.9595426542807e-07	LG	lncRNA:CR45045
2.91419290639974e-11	1.07100349720097	0.633	0.218	4.78131630153006e-07	LG	PGRP-LB
4.45710311785773e-51	1.91988952919544	1	0.896	7.31276908546918e-47	Circ	lncRNA:CR40469
1.29462688567454e-44	1.79828055500415	0.709	0.2	2.12409433132622e-40	Circ	Lsd-2
6.46821874995525e-34	3.61460689737737	0.455	0.083	1.06124065030516e-29	Circ	28SrRNA-Psi:CR45855
2.42877208134829e-31	4.50390040226176	0.382	0.136	3.98488635386815e-27	Circ	28SrRNA-Psi:CR45859
4.21673943890898e-28	1.80842853075603	0.782	0.649	6.91840439741796e-24	Circ	pre-rRNA:CR45856
6.72113778532522e-21	2.43313630220265	0.255	0.004	1.10273707643831e-16	Circ	apolpp
3.83304351659376e-20	1.16163791288085	0.6	0.225	6.28887449767538e-16	Circ	scyl
1.00385575716194e-18	1.5680644860707	0.382	0.206	1.64702614077559e-14	Circ	Acbp2
1.5044655176019e-16	1.07328617498032	0.691	0.481	2.46837657472944e-12	Circ	Hsp27
2.59650057067941e-16	1.28850202249803	0.491	0.144	4.26007848631372e-12	Circ	Col4a1
7.18754365625042e-12	1.59698793819834	0.509	0.231	1.17926028768101e-07	Circ	ced-6
1.47750979211604e-08	1.94631841413474	0.382	0.422	0.000242415031592479	Circ	Nedd4
