p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.85261624341884	0.929	0.834	0	LG	CG8157
0	1.67496571238461	0.967	0.778	0	LG	CG42807
0	1.43055485194777	0.729	0.167	0	LG	CG30090
0	1.32537614397017	0.702	0.321	0	LG	lncRNA:CR43855
0	1.30410738060538	0.451	0.04	0	LG	lncRNA:CR45045
0	1.28845835907738	0.676	0.328	0	LG	CG2444
0	1.16607136029573	0.91	0.654	0	LG	CG42394
0	1.13196857758571	0.902	0.401	0	LG	CG33460
0	1.10404949605196	0.826	0.549	0	LG	GstO3
0	1.09928443621849	0.498	0.086	0	LG	CG44250
0	1.08905097114037	0.714	0.185	0	LG	Nrt
7.78018125669431e-270	1.02859590681118	0.531	0.212	1.27649433878584e-265	LG	Thor
0	3.76397612117195	0.323	0	0	Circ	Ubx
0	2.05331757963257	0.529	0.087	0	Circ	28SrRNA-Psi:CR45855
0	1.92630709994401	0.445	0.112	0	Circ	28SrRNA-Psi:CR45859
0	1.66863034576213	0.977	0.767	0	Circ	Ppn
0	1.57002056389296	0.622	0.167	0	Circ	LpR2
0	1.55394037968383	0.288	0	0	Circ	28SrRNA-Psi:CR40596
0	1.44448586370959	0.682	0.136	0	Circ	CG4829
0	1.4270033344051	0.684	0.614	0	Circ	pre-rRNA:CR45856
0	1.39895704919675	0.987	0.891	0	Circ	Pxn
0	1.3920923584216	0.995	0.866	0	Circ	Glt
0	1.3474426034135	1	0.998	0	Circ	mt:lrRNA
0	1.34238305601444	0.639	0.41	0	Circ	lectin-28C
0	1.26616220773989	0.86	0.474	0	Circ	Ance-5
0	1.23141426175414	0.992	0.921	0	Circ	Hml
0	1.23077553882592	0.852	0.452	0	Circ	Ten-m
0	1.22793565273154	0.662	0.23	0	Circ	Lsd-2
0	1.2211423326398	0.993	0.896	0	Circ	Col4a1
0	1.20772167590145	0.842	0.524	0	Circ	LanB2
0	1.18785783606418	0.42	0.03	0	Circ	nrv3
0	1.17341428976898	0.757	0.288	0	Circ	fat-spondin
0	1.16797293660672	0.853	0.499	0	Circ	CG5397
0	1.16690384163038	0.673	0.907	0	Circ	lncRNA:CR40469
0	1.16178290777434	0.963	0.846	0	Circ	LanB1
0	1.15930232216478	0.941	0.527	0	Circ	CG8501
0	1.12924241580305	0.549	0.252	0	Circ	PH4alphaEFB
0	1.11731448468735	0.917	0.705	0	Circ	LanA
0	1.11715673004672	0.679	0.525	0	Circ	CG12065
0	1.06966547800234	0.97	0.85	0	Circ	mt:ND4
0	1.06360997429806	0.98	0.953	0	Circ	lncRNA:CR34335
0	1.05750331476329	0.958	0.827	0	Circ	mt:ND5
0	1.0529166116531	0.62	0.419	0	Circ	18SrRNA-Psi:CR41602
0	1.0476990641509	0.566	0.226	0	Circ	Meltrin
0	1.04642951701053	0.371	0.06	0	Circ	CG34232
0	1.02388720927144	0.84	0.633	0	Circ	His3.3B
