p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.16282749799505	0.988	0.834	0	LG	CG8157
0	1.49675705397851	0.733	0.167	0	LG	CG30090
0	1.49666015432304	0.751	0.321	0	LG	lncRNA:CR43855
0	1.38964936225163	0.965	0.654	0	LG	CG42394
0	1.26673955997228	0.956	0.778	0	LG	CG42807
0	1.25164331256209	0.645	0.328	0	LG	CG2444
0	1.23641623134824	0.401	0.04	0	LG	lncRNA:CR45045
0	1.1737591072573	0.888	0.401	0	LG	CG33460
0	1.01593788985441	0.656	0.185	0	LG	Nrt
3.02988121070414e-314	1.10747621465316	0.452	0.104	4.97112610240228e-310	LG	lectin-24A
1.60274516712889e-306	1.08116981520258	0.521	0.175	2.62962399570837e-302	LG	GstD3
0	3.76406340554034	0.323	0	0	Circ	Ubx
0	2.04289082449816	0.529	0.083	0	Circ	28SrRNA-Psi:CR45855
0	1.8918940797944	0.445	0.12	0	Circ	28SrRNA-Psi:CR45859
0	1.85521068479391	0.941	0.378	0	Circ	CG8501
0	1.61306551273508	0.622	0.138	0	Circ	LpR2
0	1.55394037968383	0.288	0	0	Circ	28SrRNA-Psi:CR40596
0	1.50346845556336	0.639	0.303	0	Circ	lectin-28C
0	1.48749248767944	0.995	0.829	0	Circ	Glt
0	1.4482032479902	0.757	0.186	0	Circ	fat-spondin
0	1.42615306899675	0.977	0.876	0	Circ	Ppn
0	1.39996831189166	0.682	0.15	0	Circ	CG4829
0	1.30757941694366	0.684	0.62	0	Circ	pre-rRNA:CR45856
0	1.29691224776903	0.987	0.894	0	Circ	Pxn
0	1.28677724077497	0.852	0.374	0	Circ	Ten-m
0	1.24876919499976	0.86	0.461	0	Circ	Ance-5
0	1.23919814721562	0.662	0.203	0	Circ	Lsd-2
0	1.2383700590399	0.853	0.419	0	Circ	CG5397
0	1.22629359318264	1	0.997	0	Circ	mt:lrRNA
0	1.21043909105453	0.842	0.484	0	Circ	LanB2
0	1.19935575723499	0.993	0.878	0	Circ	Col4a1
0	1.1752560126041	0.42	0.033	0	Circ	nrv3
0	1.1699761672951	0.789	0.399	0	Circ	vir-1
0	1.16060400605464	0.673	0.901	0	Circ	lncRNA:CR40469
0	1.13204279875012	0.371	0.021	0	Circ	CG34232
0	1.13109628795022	0.98	0.941	0	Circ	lncRNA:CR34335
0	1.10937390839532	0.523	0.07	0	Circ	CG3961
0	1.10774272239719	0.549	0.245	0	Circ	PH4alphaEFB
0	1.08853656015372	0.963	0.846	0	Circ	LanB1
0	1.0565593051646	0.566	0.196	0	Circ	Meltrin
0	1.03310816052957	0.714	0.348	0	Circ	Had2
0	1.0118035523573	0.917	0.709	0	Circ	LanA
0	1.00001122773006	0.992	0.979	0	Circ	Hml
7.4109846876187e-323	1.1051078616505	0.679	0.522	1.2159202576976e-318	Circ	CG12065
